Disease ID,Disease Name,Val Recall-at-50,Val Mean Rank,Val Recall-at-10,Val AUROC,Val Recall-at-25,Val Mean Average Precision,Val Recall-at-100
C0001418,Adenocarcinoma,0.00909090909091,2421.38363636,0.0,0.83589044376,0.0,0.0116837139736,0.0554545454545
C2936907,NADH:Q(1) Oxidoreductase deficiency,0.85,2353.35,0.85,0.924799182802,0.85,0.458823452033,0.85
C0010278,Craniosynostosis,0.15,6643.75,0.1,0.573974287571,0.15,0.0142084356071,0.15
C0079772,T-Cell Lymphoma,0.0,2877.9,0.0,0.869235588972,0.0,0.00650805983108,0.25
C0079773,"Lymphoma, T-Cell, Cutaneous",0.1,787.966666667,0.0,0.903386964463,0.0,0.011772972159,0.4
C0392557,Nuclear cataract,0.4,3361.05,0.4,0.699839870039,0.4,0.283365821532,0.4
C0270850,Idiopathic generalized epilepsy,0.0,1998.83333333,0.0,0.499717723849,0.0,4.63994060876e-05,0.0
C0242339,Dyslipidemias,0.35,6828.2,0.15,0.674198040945,0.35,0.0642821836725,0.35
C0023264,Leigh Disease,0.558333333333,4742.09166667,0.458333333333,0.778301627489,0.525,0.145123438775,0.558333333333
C0424295,Hyperactive behavior,0.2,3843.6,0.1,0.615275390595,0.133333333333,0.0241525299006,0.233333333333
C0677886,Epithelial ovarian cancer,0.1,8648.15,0.0,0.54708886619,0.05,0.00341562689077,0.1
C0235032,Neurotoxicity Syndromes,0.166666666667,3501.11666667,0.0,0.639012741319,0.0,0.0077677131912,0.283333333333
C0025202,melanoma,0.0102631578947,5212.81421053,0.00526315789474,0.724408482885,0.00526315789474,0.00806712656077,0.0260526315789
C0848558,Hypospadias,0.0,7658.1,0.0,0.499308360024,0.0,6.49815664879e-05,0.0
C0040028,"Thrombocythemia, Essential",0.15,4019.5,0.15,0.622429798097,0.15,0.0337917704482,0.25
C0282527,Infantile Refsum Disease (disorder),1.0,4.3,1.0,0.999851466766,1.0,0.380515873016,1.0
C0020538,Hypertensive disease,0.0526315789474,2057.54298246,0.0,0.829236331422,0.0105263157895,0.0231829383166,0.174269005848
C0008625,Chromosome Aberrations,0.25,4211.2,0.05,0.623450700956,0.1,0.0258331447226,0.25
C1720887,Female Urogenital Diseases,0.35,2517.2,0.15,0.673258972097,0.3,0.0365882187073,0.35
C0019569,Hirschsprung Disease,0.5,2299.4,0.5,0.74967280828,0.5,0.295856537343,0.5
C0919267,ovarian neoplasm,0.04,2607.28555556,0.0,0.82548073936,0.02,0.013399003032,0.132222222222
C0162871,"Aortic Aneurysm, Abdominal",0.45,5345.85,0.0,0.724023020514,0.35,0.0219821591274,0.45
C0015695,Fatty Liver,0.15,3849.505,0.045,0.725484099679,0.07,0.0211843824763,0.295
C0752347,Lewy Body Disease,0.1,2143.65,0.0,0.744407558733,0.0,0.00706770593412,0.3
C0027819,Neuroblastoma,0.045,3912.99,0.0,0.801433668015,0.02,0.00765532423057,0.135
C0039231,Tachycardia,0.2,3103.8,0.1,0.599148096565,0.2,0.0246150861787,0.2
C0042487,Venous Thrombosis,0.65,2260.55,0.65,0.824515949297,0.65,0.145270594426,0.65
C0020557,Hypertriglyceridemia,0.2,4129.8,0.2,0.599401197605,0.2,0.0314796284352,0.2
C0002622,Amnesia,0.15,2741.9,0.0,0.69471448468,0.0,0.00685445796174,0.2
C0038220,Status Epilepticus,0.188095238095,2151.73095238,0.0285714285714,0.778289403709,0.0738095238095,0.0229998732195,0.32380952381
C0019080,Hemorrhage,0.3,5857.9,0.05,0.648624715659,0.1,0.0152898118744,0.3
C0011884,Diabetic Retinopathy,0.25,6198.15,0.0,0.623074601922,0.15,0.00963966309458,0.25
C0393706,Early infantile epileptic encephalopathy with suppression bursts,0.1,7228.15,0.05,0.548322809787,0.05,0.0261159440579,0.1
C1561643,Chronic Kidney Diseases,0.0,8601.35,0.0,0.499024888559,0.0,9.75014426491e-05,0.0
C0011854,"Diabetes Mellitus, Insulin-Dependent",0.0821428571429,6754.70535714,0.0142857142857,0.643910320341,0.0410714285714,0.0100606290102,0.251785714286
C0023473,"Myeloid Leukemia, Chronic",0.266666666667,2694.05,0.1,0.75523875861,0.183333333333,0.0454869128159,0.35
C0033975,Psychotic Disorders,0.15,2322.8,0.1,0.720532729805,0.15,0.0152560088652,0.35
C0242350,Erectile dysfunction,0.4,3883.6,0.1,0.699169257901,0.3,0.0360595908433,0.4
C3495498,"Cardiomyopathy, Familial Hypertrophic, 1 (disorder)",0.2,3013.9,0.2,0.59956838539,0.2,0.0750371264154,0.2
C0023470,Myeloid Leukemia,0.25,5438.7,0.0,0.722616063138,0.05,0.0137605104096,0.45
C0020649,Hypotension,0.25,2853.78333333,0.0,0.672810562376,0.13,0.0179802220569,0.35
C0003504,Aortic Valve Insufficiency,0.6,2381.25,0.1,0.798714378539,0.5,0.0629786702428,0.6
C0242383,Age related macular degeneration,0.233333333333,5150.61666667,0.0,0.66845697226,0.175,0.0134616681375,0.341666666667
C0006663,Calcinosis,0.275,3262.43333333,0.025,0.697475991326,0.125,0.0215747796324,0.4
C1384666,hearing impairment,0.0,9864.325,0.0,0.497414273766,0.0,0.000162597309598,0.0
C0005586,Bipolar Disorder,0.111904761905,5763.52619048,0.0166666666667,0.631653850244,0.05,0.00941820906444,0.192857142857
C0042109,Urticaria,0.0,3230.9,0.0,0.497806508519,0.0,7.42709264438e-05,0.0
C0030567,Parkinson Disease,0.0444444444444,4658.23333333,0.0,0.717254321793,0.0,0.00926139027502,0.138888888889
C0014170,Endometrial Neoplasms,0.14,3860.36,0.0,0.764646394197,0.04,0.0134511398523,0.26
C0024667,Animal Mammary Neoplasms,0.0142857142857,1495.87087912,0.0,0.868807240845,0.0,0.0135275551964,0.0434065934066
C0242379,Malignant neoplasm of lung,0.2,4477.2,0.0,0.697915602804,0.0,0.00959741783793,0.4
C0162809,Kallmann Syndrome,0.2,8124.25,0.2,0.599540325951,0.2,0.116740950524,0.2
C1561955,Fibrinogen Adverse Event,0.1,9921.5,0.1,0.549247875946,0.1,0.0134076107246,0.1
C3875321,Inflammatory dermatosis,0.0,8821.88333333,0.0,0.53035434961,0.0,0.00140651561992,0.0666666666667
C0003872,"Arthritis, Psoriatic",0.15,6594.4,0.0,0.597942391607,0.05,0.00643220814598,0.2
C0033941,"Psychoses, Substance-Induced",0.05,2006.0,0.0,0.694037836583,0.0,0.00352856015516,0.05
C0023794,Lipoidosis,0.25,6574.45,0.05,0.624001764324,0.25,0.0628670290658,0.25
C0033860,Psoriasis,0.0642857142857,5711.50952381,0.0333333333333,0.651959331167,0.047619047619,0.00895295072304,0.164285714286
C0003469,Anxiety Disorders,0.116666666667,3126.375,0.0333333333333,0.669379268689,0.0583333333333,0.00748110432036,0.233333333333
C0016059,Fibrosis,0.2,2303.625,0.025,0.758117418785,0.1,0.0171314986085,0.325
C0009404,Colorectal Neoplasms,0.0186147186147,4303.47359307,0.0,0.773711191279,0.0,0.0160294265026,0.0898268398268
C0027720,Nephrosis,0.4,799.6,0.1,0.947894810138,0.35,0.0358426608397,0.9
C1961102,Precursor Cell Lymphoblastic Leukemia Lymphoma,0.05,2535.24,0.0,0.77221960119,0.05,0.0119341306473,0.26
C0917796,"Optic Atrophy, Hereditary, Leber",0.65,1645.05,0.6,0.824724968667,0.65,0.164414573291,0.65
C0040411,Tongue Neoplasms,0.111111111111,3156.33333333,0.0,0.608937668874,0.0,0.00424244265745,0.222222222222
C0236969,Substance-Related Disorders,0.0863636363636,7568.69818182,0.0,0.599070546506,0.0,0.00603243018803,0.123636363636
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,0.833333333333,2157.68333333,0.833333333333,0.916411209166,0.833333333333,0.374308934459,0.833333333333
C0015393,Eye Abnormalities,0.3,6817.45,0.0,0.698422921599,0.15,0.0159383049178,0.4
C0014556,"Epilepsy, Temporal Lobe",0.166666666667,4835.98333333,0.0333333333333,0.582468809015,0.166666666667,0.0257967248836,0.166666666667
C0002878,"Anemia, Hemolytic",0.25,2481.9,0.05,0.624159897888,0.25,0.0144906066362,0.25
C0009319,Colitis,0.15,2740.5,0.0666666666667,0.680085218037,0.15,0.0195948920674,0.233333333333
C0007370,Catalepsy,0.1,4491.7,0.05,0.548855723703,0.1,0.0139064965499,0.1
C0025261,Memory Disorders,0.0,4854.98333333,0.0,0.650860980747,0.0,0.00494279163792,0.0833333333333
C0206754,Neuroendocrine Tumors,0.2,4730.0,0.0,0.598855989233,0.1,0.0096449695527,0.2
C0004238,Atrial Fibrillation,0.233333333333,4058.75,0.1,0.615307386249,0.233333333333,0.0344784734442,0.233333333333
C0206698,Cholangiocarcinoma,0.0333333333333,2869.4,0.0,0.743648121488,0.0,0.00462688151883,0.0833333333333
C0151786,Muscle Weakness,0.0111111111111,6788.94,0.0,0.634119719039,0.0111111111111,0.00369378944841,0.0444444444444
C0033805,Pseudohypoaldosteronism,0.666666666667,1423.33333333,0.555555555556,0.83286925314,0.666666666667,0.21648372259,0.666666666667
C0023485,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,0.2,7128.85,0.0,0.648087812123,0.0,0.00776661062993,0.3
C0024530,Malaria,0.2,3493.5,0.0,0.648414356688,0.1,0.00967670246043,0.3
C1956346,Coronary Artery Disease,0.0642857142857,5984.29285714,0.0,0.638900944671,0.0,0.0063593333012,0.161904761905
C0019693,HIV Infections,0.02,1433.37777778,0.0,0.874974420315,0.0,0.0139316254033,0.11
C0010606,Adenoid Cystic Carcinoma,0.04,4411.96222222,0.0,0.768735436667,0.01,0.0110146073031,0.101111111111
C0032927,Precancerous Conditions,0.0285714285714,4846.11190476,0.0,0.699521992341,0.0,0.00759854253821,0.192857142857
C0026846,Muscular Atrophy,0.0,5467.15,0.0,0.621616227256,0.0,0.00261206996987,0.25
C0007873,Uterine Cervical Neoplasm,0.0,2577.33333333,0.0,0.786361596087,0.0,0.00625397336622,0.15
C0018824,Heart valve disease,0.0333333333333,4480.23333333,0.0333333333333,0.531139800926,0.0333333333333,0.00435230891053,0.0666666666667
C0022336,Creutzfeldt-Jakob disease,0.0,8775.25,0.0,0.499250371333,0.0,6.03375331912e-05,0.0
C0002171,Alopecia Areata,0.333333333333,6237.55555556,0.333333333333,0.666362436318,0.333333333333,0.111142048355,0.333333333333
C1261502,Finding of Mean Corpuscular Hemoglobin,0.2,5922.0,0.1,0.599164422988,0.2,0.0738652246342,0.2
C0087012,"Ataxia, Spinocerebellar",0.2,3639.35,0.0,0.697444526971,0.05,0.00894283951121,0.4
C0428977,Bradycardia,0.316666666667,3081.13333333,0.166666666667,0.657594544807,0.316666666667,0.0396313886633,0.316666666667
C0019158,Hepatitis,0.1,3898.75,0.0,0.647680950833,0.0,0.00530623098325,0.3
C0002871,Anemia,0.216666666667,3749.28333333,0.116666666667,0.606727896212,0.183333333333,0.0534321742537,0.216666666667
C1838951,LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY,0.7,3933.95,0.7,0.849721487258,0.7,0.320137613842,0.7
C0005941,"Bone Diseases, Developmental",0.0,7210.1,0.0,0.498272419078,0.0,0.000111443895024,0.0
C0009447,Common Variable Immunodeficiency,0.3,5189.55,0.15,0.748272220933,0.2,0.059465019962,0.5
C3160718,"PARKINSON DISEASE, LATE-ONSET",0.25,3685.65,0.0,0.697689290191,0.05,0.0112261766113,0.4
C0242488,Acute Lung Injury,0.0,3418.8,0.0,0.547739195023,0.0,0.0019000040034,0.1
C0017658,Glomerulonephritis,0.316666666667,2035.61666667,0.0,0.755820443743,0.216666666667,0.0262287019562,0.483333333333
C0023893,"Liver Cirrhosis, Experimental",0.101818181818,2804.13545455,0.0,0.735298495444,0.0281818181818,0.0144919259806,0.213636363636
C0001973,"Alcoholic Intoxication, Chronic",0.216666666667,5337.86666667,0.0,0.63125764828,0.075,0.0105631453986,0.266666666667
C0263454,Chloracne,0.191666666667,4408.83333333,0.0,0.704179830267,0.0583333333333,0.0116758376168,0.275
C0013421,Dystonia,0.0,4703.85,0.0,0.498164222057,0.0,6.03375331912e-05,0.0
C0273115,Lung Injury,0.15,3090.65,0.0,0.719987695594,0.05,0.0087610571042,0.25
C0023903,Liver neoplasms,0.01,5372.67545455,0.0,0.683673149376,0.0,0.00545528244939,0.0481818181818
C1136249,"Mental Retardation, X-Linked",0.0,7423.55,0.0,0.498969311481,0.0,8.35620112832e-05,0.0
C2931673,"Ceroid lipofuscinosis, neuronal 1, infantile",0.2,5216.1,0.0,0.648115746972,0.0,0.00678318589363,0.3
C0038454,Cerebrovascular accident,0.166666666667,3461.59166667,0.025,0.71725158767,0.05,0.0129075695982,0.325
C0751617,Semilobar Holoprosencephaly,0.55,3403.15,0.4,0.774475467669,0.55,0.109070952106,0.55
C0152013,Adenocarcinoma of lung (disorder),0.065,1857.83,0.0,0.821599414253,0.02,0.00958648043386,0.09
C1140680,Malignant neoplasm of ovary,0.25,3452.9,0.0,0.747705964261,0.25,0.0189206773311,0.5
C0042514,"Tachycardia, Ventricular",0.0,6448.2,0.0,0.499030027382,0.0,4.64080193057e-05,0.0
C0268363,Osteogenesis imperfecta type IV (disorder),0.3,6386.9,0.3,0.649610154546,0.3,0.100032485614,0.3
C0268362,Osteogenesis imperfecta type III (disorder),0.55,2337.6,0.0,0.774016058665,0.55,0.0290062902002,0.55
C0033578,Prostatic Neoplasms,0.0235430157262,2338.49551341,0.0,0.86007609199,0.00430157261795,0.0364791230597,0.0685476410731
C0013990,Pathological accumulation of air in tissues,0.0,3117.7,0.0,0.597150415371,0.0,0.00330458359595,0.2
C0022661,"Kidney Failure, Chronic",0.255,3282.02,0.025,0.738986775438,0.12,0.0211081559419,0.375
C0019189,"Hepatitis, Chronic",0.416666666667,2024.83333333,0.1,0.822344245801,0.266666666667,0.0330304465146,0.5
C0023895,Liver diseases,0.121428571429,2955.24285714,0.0309523809524,0.673741004405,0.0619047619048,0.0129918999721,0.233333333333
C0034065,Pulmonary Embolism,0.3,4024.3,0.3,0.649542838578,0.3,0.0575371277077,0.3
C0026764,Multiple Myeloma,0.158333333333,4838.89166667,0.0,0.662907798123,0.025,0.0068024012784,0.208333333333
C1262477,Weight decreased,0.0,5472.8,0.0,0.49883467199,0.0,8.35620112832e-05,0.0
C0004943,Behcet Syndrome,0.133333333333,5125.43333333,0.0333333333333,0.656283379,0.0833333333333,0.0120585064558,0.316666666667
C0007570,Celiac Disease,0.225,7198.91666667,0.1,0.61094323621,0.2,0.0541344666406,0.225
C0027643,"Neoplasm Recurrence, Local",0.0,3777.66666667,0.0,0.709880570907,0.0,0.0039555575024,0.1
C0017601,Glaucoma,0.0,9810.11666667,0.0,0.499024888559,0.0,9.75014426491e-05,0.0
C0018843,Heat Stroke,0.15,509.55,0.0,0.921819447668,0.05,0.0145584891159,0.75
C0022521,Kartagener Syndrome,0.0833333333333,11608.5,0.0833333333333,0.541168206938,0.0833333333333,0.0417688235704,0.0833333333333
C0034951,Refractive Errors,0.0,8353.95,0.0,0.499182877571,0.0,8.35620112832e-05,0.0
C1336708,Testicular Germ Cell Tumor,0.1,6806.21666667,0.05,0.548417765602,0.1,0.00764377108494,0.1
C1168401,Squamous cell carcinoma of the head and neck,0.0,3251.46666667,0.0,0.710612393381,0.0,0.00400387266518,0.0833333333333
C0019196,Hepatitis C,0.0,4625.2,0.0,0.498916070931,0.0,6.96260308854e-05,0.0
C0025500,Mesothelioma,0.075,4583.755,0.0,0.737950827291,0.0,0.00620297942346,0.125
C1720824,Sudden Cardiac Arrest,0.1,9578.55,0.05,0.548013183548,0.1,0.00947592711933,0.1
C0017668,Focal glomerulosclerosis,0.166666666667,1705.7,0.0833333333333,0.838241622165,0.116666666667,0.0380245626711,0.583333333333
C0000768,Congenital Abnormality,0.2,4377.95,0.2,0.598951081407,0.2,0.037541768725,0.2
C0311375,Arsenic Poisoning,0.0166666666667,5714.18333333,0.0,0.632489223804,0.0166666666667,0.00503427259123,0.0666666666667
C0265221,Walker-Warburg congenital muscular dystrophy,0.6,4198.75,0.5,0.79974006684,0.6,0.250504038303,0.6
C0037769,West Syndrome,0.25,5570.8,0.0,0.623664237304,0.1,0.00865712700633,0.25
C0004096,Asthma,0.0490909090909,4745.40090909,0.0,0.664397004729,0.02,0.00678315308934,0.124545454545
C2937358,Cerebral Hemorrhage,0.466666666667,3158.35,0.0,0.781389056621,0.0833333333333,0.0228294395148,0.566666666667
C0023186,Learning Disorders,0.0,4495.23333333,0.0,0.668472673789,0.0,0.00328718274767,0.116666666667
C0026650,Movement Disorders,0.133333333333,3719.05,0.133333333333,0.565412951956,0.133333333333,0.0187343664391,0.133333333333
C0007117,Basal cell carcinoma,0.15,7105.36666667,0.1,0.622332249826,0.15,0.0306532436189,0.25
C0035828,Romano-Ward Syndrome,0.5,2064.65,0.05,0.798379984218,0.25,0.03059696915,0.6
C0020507,Hyperplasia,0.0,4172.3,0.0,0.686601876364,0.0,0.00467786621356,0.15
C0023890,Liver Cirrhosis,0.206666666667,1694.87333333,0.0,0.795909563007,0.0933333333333,0.0240413946084,0.436666666667
C1960469,Left ventricular noncompaction,0.25,6362.75,0.05,0.623602924112,0.15,0.0174152587636,0.25
C0024796,Marfan Syndrome,0.3,2546.7,0.0,0.648640181928,0.1,0.00986581894685,0.3
C0162820,"Dermatitis, Allergic Contact",0.0761904761905,5213.93095238,0.0,0.592834098881,0.0309523809524,0.00671457230704,0.104761904762
C0026640,Mouth Neoplasms,0.025,1946.32,0.0,0.840323611434,0.025,0.0106457015432,0.22
C0023892,Biliary cirrhosis,0.141666666667,4885.61666667,0.05,0.585269454123,0.075,0.0128437169893,0.175
C0029927,Ovarian Cysts,0.0,6773.73333333,0.0,0.497029174022,0.0,0.000143990962017,0.0
C0035229,Respiratory Insufficiency,0.0,9140.8,0.0,0.499166898728,0.0,5.10507596601e-05,0.0
C0036095,Salivary Gland Neoplasms,0.07,6151.17,0.0,0.613867777623,0.0,0.00439630786847,0.14
C0024232,Lymphatic Metastasis,0.1,4888.45,0.0,0.622652369679,0.0,0.00523740960052,0.25
C0004114,Astrocytoma,0.15,839.466666667,0.05,0.853042229756,0.05,0.0223403824716,0.3
C0524909,"Hepatitis B, Chronic",0.1,3596.85,0.0,0.548586482221,0.05,0.00426669191009,0.1
C0085580,Essential Hypertension,0.4,3206.8,0.2,0.699150575566,0.4,0.074457765644,0.4
C0878544,Cardiomyopathies,0.0666666666667,2754.34444444,0.0,0.808342520561,0.0333333333333,0.0145516638174,0.166666666667
C0270853,"Myoclonic Epilepsy, Juvenile",0.0,3924.42857143,0.0,0.499738150481,0.0,4.64015590924e-05,0.0
C0032285,Pneumonia,0.37,2336.81,0.08,0.760016039052,0.265,0.0417358919521,0.5
C0018923,Hemangiosarcoma,0.3,436.8,0.05,0.920460559915,0.2,0.0238176452374,0.5
