,disease_id,disease_name,disease_size,median_comp,null_medians_comp,pvalue_comp
11,C0079924,Oligohydramnios,30,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0
12,C0003578,Apnea,44,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0
13,C0332606,Elfin facies,10,0.00048575808324099714,"[0.000576   0.00055835 0.00076864 0.         0.         0.
 0.         0.00103117 0.         0.         0.         0.
 0.00056522 0.00064309 0.         0.00045742 0.         0.0003905
 0.00060768 0.00047925 0.00040404 0.         0.00050605 0.00084173
 0.         0.00044699 0.         0.0002042  0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00060852 0.         0.00045803 0.         0.00119226
 0.00071469 0.         0.         0.         0.         0.
 0.00105488 0.00100712 0.0008031  0.00040634 0.         0.00084143
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00042647 0.00022328 0.0006646  0.00066784
 0.         0.         0.0014097  0.         0.         0.
 0.0005135  0.00077695 0.00057197 0.         0.00071236 0.00148962
 0.         0.         0.00059297 0.         0.         0.
 0.00027943 0.00073926 0.00040775 0.         0.         0.
 0.0002514  0.         0.00057437 0.00028928 0.00161327 0.0002096
 0.         0.00025004 0.         0.        ]",0.28
14,C0857973,Increased serum parathyroid hormone,13,0.0005379143536399191,"[0.         0.00030035 0.         0.         0.00052748 0.
 0.00044308 0.         0.         0.00042112 0.         0.00047182
 0.00121496 0.00070325 0.         0.00027706 0.00033645 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00057481
 0.         0.         0.00088274 0.         0.         0.00036692
 0.         0.00039366 0.         0.00053762 0.00066732 0.0002468
 0.00051731 0.00058322 0.00029705 0.         0.         0.
 0.         0.         0.00057823 0.00025709 0.00027442 0.
 0.         0.         0.         0.         0.         0.
 0.00018526 0.         0.         0.         0.         0.
 0.         0.         0.00040693 0.         0.         0.0011501
 0.         0.         0.         0.00061731 0.         0.
 0.         0.         0.         0.00075292 0.         0.
 0.00051754 0.         0.         0.00039621 0.         0.0002468
 0.         0.00054021 0.         0.         0.         0.00056877
 0.         0.         0.00049147 0.00031209]",0.12
15,C0240310,Hypoplasia of the maxilla,65,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0
16,C0241210,Speech Delay,112,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0
17,C0027720,Nephrosis,15,0.0004960360004089984,"[0.00000000e+00 6.53503893e-04 4.00023732e-04 0.00000000e+00
 5.79335653e-04 2.52632780e-04 0.00000000e+00 0.00000000e+00
 6.26285023e-04 5.81374397e-04 3.55679959e-04 3.47482754e-04
 0.00000000e+00 8.94157640e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 7.74868571e-04 0.00000000e+00 0.00000000e+00
 1.54511463e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.39116104e-04 0.00000000e+00
 0.00000000e+00 5.10540732e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.52305315e-04 5.61315211e-04
 0.00000000e+00 4.06570415e-04 0.00000000e+00 0.00000000e+00
 6.13405071e-04 0.00000000e+00 3.45421114e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.12842686e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.51964298e-04 4.04608287e-04
 0.00000000e+00 5.22410583e-04 8.45250860e-05 1.02421285e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 7.21574405e-04 2.22334637e-04 2.94405738e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.24148460e-04
 3.26953551e-04 1.83017258e-04 4.35303559e-04 0.00000000e+00
 0.00000000e+00 3.11311359e-04 4.94602654e-04 4.55118757e-04
 0.00000000e+00 0.00000000e+00 3.13611995e-04 4.88679722e-04
 2.88882770e-04 2.50482420e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.23166460e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.26577848e-04 0.00000000e+00 4.38389785e-04
 2.73858294e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.64274201e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00]",0.12
18,C0026636,Mouth Diseases,12,0.0006049081349015883,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.26025595e-04 7.19347582e-05 4.39184322e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.04726467e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 7.49129505e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.42825899e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.97076316e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 5.97215430e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 5.10734690e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.17592533e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.99922925e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.60919519e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]",0.02
19,C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,20,0.02649774538008782,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.000197
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00025002 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.0
20,C1838608,Radial aplasia,15,0.0,"[9.07298179e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.80526010e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 6.02458593e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.70083972e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 7.60793816e-04 0.00000000e+00 3.92317147e-04
 0.00000000e+00 0.00000000e+00 3.20035218e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.12937918e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.38870728e-04
 1.47136606e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.23491080e-04 0.00000000e+00 5.09672389e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.63465325e-04 0.00000000e+00 6.95645374e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.13451948e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.87000501e-04 0.00000000e+00]",0.16
21,C2219717,menstrual periods stopped for over 6 months,13,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0
22,C1837404,"High, narrow palate",32,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0
23,C1837402,Flat occiput,25,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0
24,C0746940,nonverbal,43,0.0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00028716 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00036191
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.02
25,C0043352,Xerostomia,40,0.0003958812205804638,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 3.01160979e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.21141896e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.04833676e-04
 0.00000000e+00 0.00000000e+00 4.75374692e-04 0.00000000e+00
 4.57227749e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.45374689e-04 0.00000000e+00 0.00000000e+00 3.92820250e-04
 0.00000000e+00 2.29365108e-04 0.00000000e+00 0.00000000e+00
 3.13035030e-04 0.00000000e+00 3.30491911e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.26517781e-04 2.53310914e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.07759646e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.93349660e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.45313125e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.37014566e-04 2.22212641e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.86267180e-04
 3.80452420e-04 0.00000000e+00 3.28163619e-04 0.00000000e+00
 4.64289491e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.11420009e-04
 7.91475381e-05 0.00000000e+00 0.00000000e+00 3.79487444e-04]",0.04
26,C0206698,Cholangiocarcinoma,25,0.0010045204044728331,"[0.00064224 0.00039772 0.00052849 0.00013553 0.00051622 0.00057017
 0.00032079 0.00084374 0.00077215 0.000856   0.0007119  0.0006071
 0.00074449 0.00073804 0.00059235 0.0005801  0.00029771 0.00073729
 0.00072339 0.00058676 0.00036984 0.         0.00045452 0.00074751
 0.00080746 0.00062617 0.00033639 0.00079652 0.00079996 0.00050756
 0.00041435 0.         0.00068402 0.00053156 0.0008545  0.00084532
 0.00087521 0.00024869 0.00079441 0.00066255 0.00046567 0.00094686
 0.0005704  0.0010132  0.00045544 0.00038933 0.0005808  0.00085362
 0.00103633 0.00056668 0.00087583 0.0004954  0.00082211 0.00088778
 0.00067481 0.00032983 0.00049802 0.00063098 0.00054499 0.00075213
 0.00065938 0.00074081 0.00075472 0.00059415 0.00075887 0.00075446
 0.00025633 0.00041996 0.0002115  0.00066033 0.00065138 0.00060174
 0.00095524 0.00060211 0.0006762  0.00082462 0.00075743 0.00019125
 0.00070543 0.00051403 0.00019112 0.00110508 0.0004848  0.00043595
 0.00071505 0.00077215 0.00087725 0.00063603 0.00080655 0.0006405
 0.00084644 0.00055993 0.         0.00063082 0.00058517 0.00081925
 0.00093143 0.00075075 0.00054993 0.00070841]",0.03
27,C0231835,Tachypnea,19,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0
28,C1389016,ATRIOVENTRICULAR CANAL DEFECT,17,0.0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00051897 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.01
29,C1850072,Tented upper lip,19,0.0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00028314 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00056124 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.02
30,C0598608,Hyperhomocysteinemia,11,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0
