disease_id,disease_name,disease_size,loo_median_COMP,loo_median_DNS,null_loo_medians_COMP,null_loo_medians_DNS,pvalue_COMP,pvalue_DNS
C1442903,Exostoses,11,0.010660790906879186,0.0,"[0.00764804 0.00845638 0.00433885 0.00579732 0.00153385 0.00640675
 0.00339735 0.00416141 0.0102384  0.00401668 0.0030401  0.00446466
 0.00601929 0.00490968 0.00368364 0.00271123 0.00999129 0.00547233
 0.00787265 0.0076883  0.00614855 0.00908016 0.00365082 0.00622124
 0.00398122 0.00808821 0.0039604  0.00503854 0.00426519 0.00803106
 0.00896351 0.00541203 0.00389475 0.00855417 0.00608973 0.0084114
 0.00737178 0.01013177 0.00259441 0.00233387 0.00670437 0.00405217
 0.00615423 0.00636992 0.00545921 0.00622066 0.00504948 0.00714756
 0.00544018 0.00410127 0.01305459 0.00493184 0.0062428  0.00382583
 0.00892402 0.00301217 0.00548813 0.00811249 0.00540156 0.00797289
 0.00575891 0.00579483 0.00732703 0.0062367  0.0062922  0.00691971
 0.00800956 0.00508084 0.00545189 0.00473939 0.0083955  0.01051103
 0.00930588 0.01109858 0.00580147 0.00344885 0.00442335 0.00530043
 0.00980242 0.00317219 0.00494114 0.0033216  0.00561666 0.00839483
 0.00455337 0.00551721 0.01027887 0.00430379 0.01112916 0.00572612
 0.00620795 0.00269125 0.003139   0.00587888 0.00388175 0.01070983
 0.00584621 0.00219232 0.00754614 0.00375186]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.04,1.0
C3887709,Optic Neuropathy,12,0.35755428894997715,0.03666666666666667,"[0.00511142 0.00871842 0.00478486 0.01041956 0.00461436 0.00926571
 0.0051449  0.00847975 0.0045426  0.00680283 0.01172433 0.00298472
 0.01038614 0.01133854 0.00886567 0.0078143  0.0044946  0.00573139
 0.00603682 0.00833795 0.00509937 0.00460023 0.01258952 0.0082228
 0.00702089 0.00616262 0.00711335 0.0039004  0.01286145 0.00398193
 0.00587641 0.01743411 0.0060055  0.00403105 0.00511329 0.00470496
 0.0124135  0.0073883  0.00649497 0.01068061 0.0067678  0.0071696
 0.00431862 0.00669859 0.00933447 0.00784534 0.00449818 0.00358992
 0.00784446 0.00875316 0.00660172 0.00799685 0.00774924 0.00316357
 0.00344744 0.00778641 0.00485577 0.00723885 0.0113008  0.00621364
 0.00155426 0.00710774 0.00875425 0.00277168 0.00880763 0.00413287
 0.00645007 0.00569745 0.01009464 0.00643248 0.00460028 0.00972288
 0.00843893 0.00518905 0.0044382  0.01144975 0.00783407 0.00871196
 0.00539304 0.0060981  0.00583021 0.00693551 0.00689633 0.01041824
 0.01018261 0.00524564 0.00877767 0.00384514 0.00667304 0.00329219
 0.00659233 0.00764027 0.00424601 0.00552739 0.00437755 0.00964985
 0.01182058 0.00454729 0.00964961 0.0041133 ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0,0.0
C4023397,Abnormal hair quantity,16,0.0224367079761141,0.0,"[0.00701462 0.01937255 0.00696335 0.01793007 0.00960802 0.01118422
 0.00566233 0.01181843 0.01309612 0.00580232 0.0095302  0.01387739
 0.0066211  0.01218601 0.0075349  0.00572644 0.0144636  0.00904171
 0.0085566  0.00899509 0.01156009 0.0103723  0.00609497 0.01469793
 0.00703889 0.01106858 0.01096956 0.01364572 0.00913673 0.01050484
 0.00623615 0.00971043 0.0093894  0.0139226  0.01301983 0.01581744
 0.01590228 0.00904498 0.00940742 0.01220439 0.00893338 0.0168247
 0.01411441 0.00712229 0.00630264 0.00679279 0.00789657 0.01282129
 0.00882501 0.00572354 0.00863286 0.01125148 0.00561836 0.00737262
 0.01171137 0.01058122 0.01074099 0.01164111 0.01828044 0.01088651
 0.00914596 0.00674248 0.01095118 0.02093213 0.01127979 0.00655985
 0.0094243  0.01510318 0.00949225 0.00848558 0.01220046 0.01031776
 0.01288374 0.00550322 0.01126506 0.01138403 0.01065526 0.01432602
 0.00905132 0.00901118 0.00745056 0.01379791 0.00595087 0.00917492
 0.00836923 0.02336008 0.01088749 0.01068144 0.01662061 0.00703952
 0.00863459 0.0094442  0.00994342 0.00706796 0.01011063 0.01425447
 0.00822073 0.00736775 0.00571377 0.0132244 ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.01,1.0
C0151891,Retinal depigmentation,12,0.002923220648832631,0.0,"[0.00757185 0.         0.00068495 0.00825769 0.00382324 0.00168635
 0.00182248 0.00126837 0.00720519 0.00201139 0.00521861 0.00314221
 0.00188374 0.003338   0.00158895 0.00399906 0.00018348 0.00410876
 0.00397675 0.00300549 0.00352948 0.00338956 0.00445279 0.00181415
 0.00303453 0.00346048 0.00260139 0.         0.00150236 0.
 0.0017049  0.00209706 0.00215825 0.00312497 0.00068017 0.00264754
 0.00343186 0.00431815 0.00236938 0.00186107 0.00160429 0.00365298
 0.00341089 0.00236026 0.00161274 0.00399167 0.00259697 0.0069621
 0.00042426 0.00075626 0.00022135 0.00103339 0.00289246 0.00217899
 0.0036964  0.00163137 0.00121392 0.0020646  0.00049589 0.0044231
 0.00209279 0.00168602 0.00149949 0.00508887 0.00254677 0.00202748
 0.00163126 0.00110207 0.00100112 0.0004019  0.0007429  0.00103639
 0.00303044 0.00237408 0.00934191 0.00309364 0.0015946  0.00499913
 0.00272365 0.00085258 0.00253349 0.00479112 0.00140226 0.00648298
 0.00676876 0.0028854  0.00276068 0.00414233 0.00209015 0.00133357
 0.00164022 0.00536008 0.00752093 0.00386662 0.00015384 0.00081544
 0.00146509 0.0035688  0.00109418 0.00397111]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.39,1.0
C0266435,Congenital hypoplasia of penis,172,0.1290527106171111,0.01856776989755713,"[0.09621944 0.09351803 0.08499642 0.08905266 0.09116395 0.08629389
 0.09896549 0.09402689 0.09728086 0.08950817 0.08458512 0.09016264
 0.08722336 0.07638523 0.09208036 0.08420341 0.09257551 0.08827448
 0.09143847 0.07792684 0.08795699 0.09221505 0.08565518 0.09421291
 0.09212312 0.08545866 0.08543498 0.08933982 0.09593558 0.08839667
 0.08630385 0.08086851 0.08270105 0.0810435  0.08719154 0.09459738
 0.08689552 0.08476597 0.09325084 0.09170643 0.09559346 0.10417872
 0.0881753  0.09898786 0.08690297 0.09032523 0.08773754 0.08949069
 0.08523183 0.08471841 0.08072763 0.08996822 0.08504302 0.09031737
 0.0953826  0.09866043 0.09027827 0.08983175 0.0925002  0.08423235
 0.08817048 0.08743523 0.08159935 0.08699884 0.08562453 0.08262989
 0.08669921 0.09079977 0.0809979  0.09011721 0.08925332 0.09166661
 0.0880531  0.08898031 0.08730657 0.09125279 0.09387554 0.08876674
 0.09103429 0.10348774 0.08639982 0.09565681 0.08970217 0.07581215
 0.09230745 0.09127891 0.08176625 0.09604174 0.08816453 0.08977239
 0.0879688  0.08977898 0.08538551 0.09311901 0.08481017 0.08988281
 0.09207802 0.08909286 0.0783839  0.08980551]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0,0.0
C0699743,Congenital muscular dystrophy (disorder),14,0.01057612300503814,0.0,"[0.00052366 0.00437768 0.00169293 0.00083347 0.00249525 0.00188345
 0.00085167 0.00118365 0.00092891 0.01049673 0.00187118 0.00178145
 0.00201206 0.00338821 0.         0.00058492 0.         0.00772931
 0.00637599 0.00194269 0.00519863 0.00768379 0.00194278 0.
 0.00064095 0.00480648 0.00387109 0.         0.00174036 0.00187604
 0.00175252 0.00361209 0.00424232 0.0016621  0.0018754  0.00572591
 0.00435394 0.00108496 0.00076553 0.00336193 0.         0.0007781
 0.00712969 0.00145089 0.00204047 0.00558574 0.00193101 0.00239343
 0.         0.00427475 0.00186865 0.00057195 0.00274217 0.00463349
 0.00533532 0.0011142  0.00062815 0.00443504 0.         0.00115947
 0.00036757 0.0019833  0.00207619 0.00208562 0.         0.
 0.00284991 0.0018188  0.0064028  0.00106658 0.00128189 0.00318018
 0.00178824 0.00232936 0.00508343 0.00440136 0.00162786 0.00344447
 0.         0.00115771 0.00157089 0.00135414 0.         0.00047902
 0.00038064 0.00114694 0.00143265 0.00121582 0.00176088 0.00099306
 0.00029641 0.00321435 0.         0.00166312 0.         0.00552156
 0.00278889 0.         0.0003043  0.00247265]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0,1.0
C0239067,Difficulty walking up stairs,12,0.024557592196311137,0.0,"[0.01286847 0.01428699 0.01522527 0.01468931 0.00979125 0.01332598
 0.01397847 0.01540378 0.01082076 0.01986244 0.00880644 0.01161057
 0.01925374 0.01429458 0.01553083 0.01473033 0.02385959 0.01340779
 0.01037891 0.01576261 0.0101272  0.00989921 0.00648751 0.01622919
 0.0162305  0.00983198 0.01119741 0.01054681 0.02463993 0.012799
 0.01009043 0.01056084 0.01392392 0.01188642 0.00807382 0.01222283
 0.01229222 0.01070793 0.00904408 0.01182613 0.00673177 0.01066091
 0.01632179 0.01190333 0.01244661 0.016577   0.00812833 0.01052622
 0.01938247 0.0158401  0.01045803 0.01315519 0.00856934 0.0138368
 0.01719632 0.01075243 0.01877977 0.01345524 0.0105225  0.01431581
 0.01504062 0.01110095 0.01096032 0.01020464 0.01510711 0.02922055
 0.00980771 0.00909158 0.01850384 0.01114185 0.01019133 0.01211214
 0.01498717 0.01926722 0.00961795 0.00797833 0.01585137 0.01627094
 0.01102386 0.01423412 0.00869118 0.00900871 0.01489624 0.0140709
 0.01775944 0.00993278 0.01527999 0.01174158 0.01688767 0.01024309
 0.01487101 0.01083638 0.02062192 0.01334145 0.01187812 0.01264844
 0.01913687 0.01237777 0.01523556 0.02445188]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00110865 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00100806
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00272232 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.02,1.0
C0041834,Erythema,57,0.08478859188652543,0.010526315789473684,"[0.041425   0.04163541 0.04934821 0.03570122 0.03930468 0.03939613
 0.03520654 0.03578976 0.04472458 0.0423318  0.04058808 0.04199189
 0.03846576 0.046697   0.039105   0.04592375 0.04363429 0.03632577
 0.03765677 0.04664479 0.03975656 0.03543866 0.03462326 0.04367225
 0.04203818 0.0411207  0.04349895 0.04312286 0.04362026 0.03806562
 0.03729958 0.04292658 0.04256406 0.04094561 0.03435177 0.04676088
 0.03901673 0.04568487 0.04110927 0.04677199 0.04329712 0.0359263
 0.0383239  0.04122118 0.03881173 0.04409399 0.03868133 0.03404129
 0.04027647 0.04033855 0.03832591 0.03800039 0.04226147 0.04071309
 0.04220728 0.03657323 0.04145595 0.04589724 0.03953088 0.04232821
 0.03589183 0.04711439 0.04564818 0.0382837  0.03967348 0.04171297
 0.04570674 0.03842342 0.04235253 0.04647792 0.04451923 0.03611229
 0.04213961 0.04082396 0.03861328 0.04616481 0.03745515 0.03530415
 0.03844627 0.04538572 0.03530047 0.04416571 0.0475081  0.04446264
 0.03600196 0.04454236 0.04515942 0.04940223 0.03886559 0.0395727
 0.0361141  0.03385362 0.04050168 0.03347433 0.04906477 0.04261255
 0.0476488  0.03732326 0.03587407 0.04359359]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0,0.0
C1846223,Adrenal hypoplasia,12,0.011263248620957178,0.0,"[0.00457425 0.00217256 0.00347315 0.00569139 0.00378395 0.00362999
 0.00598915 0.00162905 0.00527412 0.00119309 0.00362174 0.00323809
 0.00167868 0.00414951 0.00542934 0.00484283 0.00063615 0.00267746
 0.00585278 0.00203283 0.00247825 0.00347206 0.00132487 0.00334857
 0.01213477 0.00289214 0.0009927  0.00252087 0.0037617  0.00214594
 0.00390035 0.00505982 0.00408585 0.00349432 0.01145147 0.00297089
 0.0055325  0.00401746 0.00512274 0.00429517 0.00844299 0.00250089
 0.00394531 0.00218338 0.00948335 0.00291153 0.01009718 0.00261538
 0.00644622 0.00224424 0.00630913 0.00401375 0.00160785 0.0112597
 0.00422766 0.00827952 0.00459814 0.00525131 0.00654183 0.0008218
 0.00102407 0.0027918  0.0015381  0.0067763  0.00371102 0.00669973
 0.00202818 0.00330688 0.00048878 0.00277782 0.00716354 0.00556476
 0.00214418 0.00390511 0.00430761 0.00122675 0.0039908  0.00601643
 0.00436655 0.00422592 0.00575002 0.00903846 0.0061507  0.00508773
 0.00481711 0.0017192  0.00119518 0.00391183 0.00233911 0.00435797
 0.00312382 0.00229596 0.00308873 0.00256296 0.00386764 0.00614615
 0.00358591 0.00186094 0.00315817 0.00165796]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.02,1.0
C1846226,Mineralocorticoid insufficiency,12,0.0655616131559948,0.036962365591397844,"[0.00287456 0.00095288 0.00603274 0.0014698  0.00138426 0.00673659
 0.00280954 0.00399077 0.00543775 0.00451866 0.0037994  0.00684654
 0.00775377 0.         0.00313637 0.00468336 0.00050469 0.00726357
 0.00099241 0.00325689 0.00042263 0.00401053 0.00441379 0.00313197
 0.00047331 0.00337484 0.00290376 0.00220239 0.00327212 0.00302761
 0.00111997 0.0005533  0.00397304 0.00321073 0.0006905  0.00353472
 0.00495164 0.00540817 0.00284723 0.0012332  0.00408649 0.00026596
 0.00064698 0.00102147 0.00027538 0.00352375 0.         0.0020785
 0.00152817 0.00496204 0.00055007 0.00069215 0.00072463 0.
 0.00672795 0.00078101 0.00187536 0.00148364 0.00060487 0.00550162
 0.00553667 0.00393471 0.0010643  0.00253074 0.00249394 0.00528542
 0.         0.00194715 0.         0.         0.00458565 0.00714314
 0.00148623 0.00313868 0.00710637 0.00342956 0.00433547 0.0013792
 0.00029762 0.000594   0.00104021 0.00585674 0.00161022 0.0091802
 0.00095516 0.00446846 0.00060501 0.00208175 0.01121162 0.00212388
 0.00218654 0.00278307 0.00199873 0.00253603 0.00286462 0.00396634
 0.00325662 0.00156992 0.00268584 0.00526032]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0,0.0
C3552463,Very poor growth,110,0.08304876683714417,0.0,"[0.06879676 0.06562109 0.06714154 0.06520704 0.07303692 0.06206406
 0.06696064 0.07483922 0.06918911 0.06500821 0.05915588 0.0666322
 0.07151865 0.06959749 0.06779802 0.07396927 0.07072239 0.06931271
 0.0646889  0.07880723 0.07381212 0.06170266 0.06350244 0.06478447
 0.0678026  0.06944948 0.06912709 0.06706509 0.07034789 0.07248196
 0.06851052 0.06361595 0.06428942 0.06329212 0.06391419 0.07979995
 0.06511585 0.06816482 0.07427178 0.07470836 0.07048093 0.06354765
 0.05909949 0.06739599 0.06810249 0.06918121 0.07774729 0.06675792
 0.06519096 0.06506609 0.06351707 0.06174692 0.06510445 0.06720275
 0.08162629 0.06036974 0.06943942 0.06410183 0.06503079 0.07877365
 0.06452902 0.06870161 0.06929022 0.06689966 0.06520503 0.07980082
 0.06891184 0.07774178 0.07749071 0.06336072 0.06259995 0.06765936
 0.07025115 0.06486799 0.07162929 0.07220845 0.0609181  0.0682222
 0.0752047  0.07629489 0.07919064 0.06159669 0.07049302 0.06798116
 0.06872907 0.06657568 0.07647289 0.06208236 0.0659619  0.07192442
 0.06896452 0.06778553 0.07020955 0.07642902 0.0615062  0.07202222
 0.06087354 0.06490196 0.07073785 0.06051116]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0,1.0
C0038002,Splenomegaly,186,0.15439483685802594,0.03315018315018315,"[0.11040895 0.1025148  0.10695874 0.1041864  0.11765262 0.11029242
 0.116941   0.11467515 0.10441976 0.11005051 0.10245207 0.10076356
 0.10055126 0.10592866 0.11676169 0.10643422 0.10441404 0.11064335
 0.10977441 0.10792293 0.10290328 0.10358377 0.10327868 0.10572566
 0.10246572 0.11192444 0.10786425 0.11185819 0.11093277 0.10631466
 0.10582281 0.11918895 0.10149101 0.10890685 0.11341201 0.11034274
 0.09676498 0.10432026 0.10981668 0.10324226 0.09854723 0.10826464
 0.10493476 0.10743495 0.11187042 0.09803136 0.11746576 0.10531291
 0.10583905 0.09710081 0.10668728 0.10227566 0.1121474  0.11497616
 0.09936845 0.11130897 0.10937345 0.11534654 0.10214032 0.1006798
 0.10570061 0.10049023 0.1118492  0.10806071 0.1094228  0.10874388
 0.10938435 0.1158017  0.10539767 0.12170892 0.10176582 0.10673639
 0.10617634 0.09696017 0.10509483 0.10843153 0.10809793 0.11085751
 0.10570437 0.10206122 0.10849692 0.10711011 0.10434513 0.1023405
 0.11158666 0.10994915 0.10871842 0.10408432 0.10283827 0.09483614
 0.09527048 0.10349746 0.10803386 0.10621708 0.1049536  0.10298552
 0.11176297 0.10918346 0.10129294 0.09769372]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.00900901 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.0,0.0
C0008924,Cleft Lip,78,0.07863089826394691,0.004720535901193217,"[0.05453055 0.04903982 0.04251763 0.04655217 0.05233832 0.04762931
 0.05413129 0.05369077 0.0416924  0.04571534 0.04657332 0.04946527
 0.05934711 0.04738242 0.05351806 0.04144809 0.04535176 0.04937878
 0.05674392 0.05291939 0.04881132 0.04953838 0.05660754 0.04100851
 0.04842332 0.04263498 0.04759211 0.05307494 0.04381058 0.0487799
 0.04464984 0.04299408 0.04512653 0.0408718  0.05081349 0.04857228
 0.04955798 0.04114398 0.0468837  0.04643557 0.04295877 0.04728004
 0.04482228 0.05367197 0.05387978 0.04406691 0.04187057 0.04974411
 0.04540246 0.05354525 0.04940843 0.04580695 0.05351755 0.04667041
 0.04693857 0.05310419 0.05066781 0.04558993 0.04070854 0.05223175
 0.0408601  0.0611827  0.05153132 0.04630396 0.04956946 0.04982462
 0.05475661 0.0505127  0.04747002 0.0536127  0.04708899 0.05338375
 0.04588467 0.04846276 0.05280944 0.04163782 0.0517735  0.0432066
 0.04587234 0.0469343  0.06052642 0.05037074 0.04204998 0.04908892
 0.04160508 0.04411149 0.05149068 0.05843706 0.04680753 0.05846796
 0.04462888 0.04823252 0.0494251  0.04646043 0.04373141 0.04889709
 0.05787188 0.04016285 0.0468664  0.04617723]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0,0.0
C0008925,Cleft Palate,197,0.18123388178125638,0.03125,"[0.15046715 0.14067596 0.15031267 0.13825762 0.15258851 0.13974207
 0.14967541 0.15878493 0.1604533  0.14004006 0.13741006 0.149712
 0.14568488 0.15605968 0.13773979 0.14712308 0.1481327  0.15740097
 0.15023159 0.14824872 0.16167947 0.15539613 0.15678002 0.15612435
 0.15341612 0.1499109  0.15817407 0.14946893 0.15272054 0.14572605
 0.14621667 0.1470548  0.15683497 0.15508786 0.15872513 0.13622104
 0.1548498  0.14316417 0.13480723 0.14714745 0.13952342 0.12948735
 0.15439387 0.15249393 0.13984427 0.15180791 0.15042666 0.15395753
 0.16396653 0.13948859 0.14759284 0.13751612 0.13405241 0.15832614
 0.14571052 0.16176588 0.160672   0.14125335 0.15335588 0.14903157
 0.15183693 0.15255066 0.15083007 0.14315315 0.14956602 0.1381857
 0.15399099 0.14610788 0.14079416 0.13657806 0.15452445 0.15501846
 0.15112452 0.15275886 0.13793557 0.14681661 0.14925564 0.13498068
 0.15395947 0.14945082 0.15723237 0.14825411 0.13985823 0.15667234
 0.14707159 0.13212545 0.15052342 0.14974117 0.13682995 0.14673924
 0.14547377 0.13710975 0.13534144 0.14525144 0.14576255 0.16332441
 0.14995418 0.14196188 0.14902382 0.13967205]","[0.01369863 0.0123839  0.02       0.01805054 0.01801802 0.00980392
 0.01515152 0.01282051 0.01677852 0.01315789 0.01351351 0.01388889
 0.00990099 0.01666667 0.01388889 0.01515152 0.01282051 0.01298701
 0.01834862 0.01020408 0.01412429 0.01176471 0.01282051 0.0166113
 0.01282051 0.0125     0.01298701 0.00990099 0.01492537 0.01209677
 0.01104972 0.00543478 0.0132626  0.01792115 0.02173913 0.01052632
 0.01449275 0.01298701 0.01092896 0.01342282 0.01204819 0.01388889
 0.01392758 0.01041667 0.01538462 0.01129944 0.01129944 0.01111111
 0.01333333 0.01666667 0.01694915 0.01639344 0.01526718 0.02158273
 0.01123596 0.01492537 0.01574803 0.01123596 0.01581028 0.01718213
 0.01428571 0.00934579 0.01630435 0.01724138 0.01581028 0.01851852
 0.         0.01265823 0.01358696 0.00925926 0.01724138 0.01826484
 0.01333333 0.01587302 0.01162791 0.01754386 0.01639344 0.01538462
 0.0125     0.01587302 0.01960784 0.01111111 0.01315789 0.01470588
 0.01075269 0.01204819 0.0106383  0.01538462 0.01801802 0.01492537
 0.01126761 0.01466276 0.01481481 0.01633987 0.0125     0.01694915
 0.00917431 0.01498127 0.01408451 0.01515152]",0.0,0.0
