,data,data,loo_ptest[DP],loo_ptest[DP],loo_ptest[DP],lci_dpp[d=1][DP],lci_dpp[d=1][DP],lci_dpp[d=1][DP],lci_dpp[d=1][DP],lci_dpp[d=8][DP],lci_dpp[d=8][DP],lci_dpp[d=8][DP],lci_dpp[d=8][DP],ci_dpp[DP],ci_dpp[DP],ci_dpp[DP],ci_dpp[DP],rw_dpp[DP],rw_dpp[DP],rw_dpp[DP],rw_dpp[DP],dns_dpp[DP],dns_dpp[DP],dns_dpp[DP],dns_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],subgraph_metrics[DP],subgraph_metrics[DP],subgraph_metrics[DP]
C0002171,Alopecia Areata,immune system ,10.0,0.01,1.0,0.3,0.1,0.7596672390588017,0.013475413593794913,0.1,0.0,0.787675778530654,0.005308216848860159,0.3,0.2,0.7318443402789999,0.0206483118636,0.3,0.2,0.7931544994662831,0.03469630054533227,0.3,0.2,0.6461897247876733,0.017032485613514014,0.2,0.1,0.5942776256555437,0.1029783028860328,0.2,0.1,0.6483640413978744,0.006234710017053577,0.9396226415094341,0.9572649572649572,0.17777777777777778
C0002395,Alzheimer's Disease,nervous system ,81.0,0.0,0.0,0.12361111111111113,0.075,0.8663267846795388,0.035217547797226086,0.2833333333333333,0.08611111111111111,0.8973902068976221,0.041032837641104006,0.108333333333,0.07361111111110001,0.823979416299,0.018141095919400003,0.08611111111111111,0.025,0.8235494790049875,0.010434985475288988,0.0,0.0,0.7115185749984481,0.0011400329171025892,0.04722222222222222,0.04722222222222222,0.535584069296993,0.0186151801966896,0.0375,0.0125,0.7247574165476707,0.004473334507065771,0.9652112176073836,0.6077045460473123,0.045370370370370366
C0002418,Amblyopia,nervous system ,19.0,0.01,1.0,0.25,0.15,0.8306574426594855,0.02171968162683116,0.35,0.15,0.7776395208468754,0.01816553093268637,0.25,0.25,0.793900315721,0.0285878876356,0.1,0.0,0.7874651778252392,0.0036617557695609454,0.1,0.0,0.5848558361964898,0.0018947824520712602,0.0,0.0,0.4930355650478225,8.820820068435815e-05,0.0,0.0,0.5826608784473953,0.0007067534168283988,0.977667493796526,0.979704262104958,0.05263157894736842
C0002452,Amelogenesis Imperfecta,gastrointestinal system ,12.0,0.11,1.0,0.2,0.0,0.7019842190763519,0.004516126775978171,0.0,0.0,0.7227314922255743,0.002058447040224186,0.1,0.0,0.6833952193080001,0.0024617062778,0.2,0.0,0.6292991413320956,0.0037953081243895007,0.2,0.2,0.5975702019029938,0.01155956936024927,0.0,0.0,0.4930378278022743,5.569393093524347e-05,0.1,0.0,0.7481550243676027,0.0019296244293294925,0.9720279720279721,0.9869888475836432,0.030303030303030307
C0002514,"Amino Acid Metabolism, Inborn Errors",inherited metabolic disorder,13.0,0.08,1.0,0.0,0.0,0.7693116412922392,0.0014164211249579205,0.0,0.0,0.8243362421091719,0.002618701178146025,0.0,0.0,0.732285090977,0.00100825944802,0.0,0.0,0.7539918306721128,0.000528200806763661,0.0,0.0,0.4939333457111029,6.0337533191168777e-05,0.0,0.0,0.4930375046416636,6.0337533191168777e-05,0.1,0.0,0.7876578165614557,0.0036602154674433268,0.9682539682539684,0.9901071723000824,0.0641025641025641
C0002622,Amnesia,cognitive disorder,17.0,0.0,1.0,0.15,0.1,0.783094243268338,0.021966992225937298,0.2,0.1,0.7718361188486537,0.0362283543073518,0.1,0.1,0.823290389972,0.007129184118399999,0.15,0.1,0.8300278551532033,0.013752542887741758,0.0,0.0,0.646905756731662,0.0006653137649399995,0.05,0.05,0.5183762766945218,0.010074274158709965,0.15,0.05,0.7951601671309192,0.05318347245485668,0.9898595943837754,0.9549472787304292,0.09558823529411764
C0002736,Amyotrophic Lateral Sclerosis,monogenic ,49.0,0.0,0.0,0.14500000000000002,0.04,0.8090475636972291,0.011962277409978852,0.18,0.06000000000000001,0.7902415380323602,0.018170686555777884,0.105,0.065,0.7681090756929999,0.009127538507719999,0.06000000000000001,0.02,0.7851989957225218,0.004589277870089497,0.0,0.0,0.7085562348893435,0.0007809859798150549,0.04,0.0,0.5331690533754881,0.0013519785106082046,0.0,0.0,0.6067865445415659,0.000572398904264015,0.9773169151004536,0.59521635525466,0.05952380952380953
C0002871,Anemia,hematopoietic system ,150.0,0.0,0.0,0.02,0.0,0.8086664798118995,0.004412896309930015,0.03333333333333333,0.006666666666666665,0.8664893103501969,0.007783884827168941,0.013333333333299998,0.0,0.758696843712,0.00264637631472,0.04,0.01333333333333333,0.7883371482848291,0.004557167128812632,0.02,0.0,0.6957303685710282,0.0025830146822235123,0.0,0.0,0.4995932794568754,0.000742060857381663,0.006666666666666665,0.0,0.7113480014325532,0.0022430120369376573,0.954891304347826,0.5679013313064669,0.014854586129753915
C0002874,Aplastic Anemia,hematopoietic system ,12.0,0.0,1.0,0.25,0.1,0.8101717335808771,0.013909989809672913,0.35,0.2,0.7434834068229288,0.028261688056276293,0.3,0.2,0.802114179624,0.11518759937999999,0.25,0.1,0.8406242747737294,0.015914694429408887,0.2,0.05,0.642917150150847,0.007622849282828875,0.2,0.1,0.5939661174286377,0.01223279139382784,0.2,0.1,0.8854397772104896,0.006688732770681033,0.9653679653679652,0.9615472300326772,0.12121212121212123
C0002878,"Anemia, Hemolytic",hematopoietic system ,56.0,0.0,0.0,0.16666666666666669,0.07333333333333332,0.8694742880176115,0.012276253723761245,0.18,0.07666666666666666,0.8917185247197803,0.02325459292200297,0.0766666666667,0.06,0.827838240082,0.0332620851248,0.1433333333333333,0.07333333333333332,0.8444532812427328,0.028303280362953463,0.11333333333333333,0.0,0.7372205168751841,0.004830701874503224,0.05333333333333333,0.03666666666666667,0.5200052710726633,0.037116354201462434,0.016666666666666666,0.0,0.7706164054385067,0.00221980999223343,0.9571220930232558,0.7966841423772401,0.03831168831168831
C0002880,Autoimmune hemolytic anemia,immune system ,15.0,0.0,1.0,0.15,0.0,0.9113035001392628,0.004953566700006499,0.2,0.15,0.9124547395784978,0.02746235341149545,0.2,0.0,0.8781194875130001,0.004735649714289999,0.2,0.1,0.8915188933246683,0.008590021681414869,0.1,0.0,0.7120381115959521,0.002869390487467291,0.0,0.0,0.4930368582304336,6.962603088540491e-05,0.0,0.0,0.7010119766038436,0.0009019092450183564,0.9669239250275634,0.943104683289559,0.14285714285714285
C0002886,"Anemia, Macrocytic",hematopoietic system ,18.0,0.0,0.0,0.7,0.25,0.9127315567110824,0.033215685250864886,0.7,0.5,0.9638481359394586,0.14091793768220642,0.7,0.2,0.93560982404,0.028995189049400003,0.75,0.0,0.9217257068573288,0.016457018097925397,0.45,0.0,0.8409524583313989,0.010985660219774105,0.4,0.1,0.8187822090162031,0.01714558634421369,0.6,0.15,0.8692882677933053,0.023602002593133102,0.9515839808726838,0.5458811766223713,0.5294117647058824
C0002888,"Anemia, Megaloblastic",hematopoietic system ,16.0,0.21,1.0,0.25,0.1,0.7635775962118749,0.018078955327501225,0.15,0.1,0.8173401884777866,0.014933521898295747,0.4,0.15,0.722502437213,0.015846706622799998,0.3,0.2,0.8912562090896431,0.02488212590084548,0.35,0.15,0.6699259551552853,0.036825039631691626,0.0,0.0,0.49303653497980604,7.427092644376604e-05,0.0,0.0,0.7524488185321017,0.0008620114679944854,0.9629629629629628,0.989212513484358,0.05833333333333333
C0002896,Sideroblastic anemia,hematopoietic system ,12.0,0.21,1.0,0.0,0.0,0.7612798793223486,0.0007933435781007941,0.1,0.0,0.8008528660942213,0.0019042797130974707,0.0,0.0,0.7319331631470001,0.000422236457563,0.0,0.0,0.7170248317475052,0.00039010011342503005,0.0,0.0,0.489468554188907,5.569393093524347e-05,0.1,0.0,0.5434973311673241,0.0019741296213007585,0.0,0.0,0.7282803434671618,0.0016593431011077714,0.9852125693160814,0.9870229007633587,0.060606060606060615
C0002962,Angina Pectoris,,14.0,0.0,1.0,0.15,0.0,0.7657673026040942,0.005065895538157947,0.15,0.1,0.7620978972287983,0.014037581390540687,0.1,0.0,0.7640138328,0.0048755024678400006,0.2,0.05,0.8065682588311749,0.007829144096826161,0.25,0.0,0.6903321264447848,0.005216186511887715,0.0,0.0,0.4930371814510514,6.498156648788272e-05,0.2,0.0,0.8070719027062154,0.0034014896482680683,0.966412213740458,0.9702268431001891,0.12087912087912088
C0002994,Angioedema,integumentary system ,9.0,0.37,1.0,0.0,0.0,0.6251495369510962,0.002284178919323676,0.1111111111111111,0.0,0.6023013221129054,0.0016085292755263624,0.0,0.0,0.645785636202,0.00184611103218,0.3333333333333333,0.2222222222222222,0.697290802961863,0.018042282524573825,0.1111111111111111,0.0,0.6603809582740342,0.004649355844019845,0.3333333333333333,0.2222222222222222,0.6617010086009529,0.12077167798454168,0.0,0.0,0.8214889755171916,0.0007726191132154122,0.9706744868035192,0.9846232701178884,0.1388888888888889
C0003028,Anhidrosis,integumentary system ,13.0,0.3,0.0,0.2,0.1,0.8278337356108428,0.052681163320291366,0.3,0.1,0.7800083549944301,0.01128012164365957,0.15,0.0,0.740976606016,0.0038337821447199994,0.2,0.1,0.8287179725213516,0.038157348980513685,0.0,0.0,0.7358649740066839,0.0016098800036767498,0.1,0.0,0.5434970293353139,0.001978773008136275,0.0,0.0,0.631767545488303,0.0002664109465932876,0.9923342276734382,0.9004752784280343,0.1282051282051282
C0003119,Anophthalmos,,13.0,0.01,1.0,0.05,0.05,0.6905495729669513,0.013316964611558136,0.05,0.05,0.6859937801708134,0.01371478190244362,0.0,0.0,0.699354808763,0.0011882858983599998,0.05,0.0,0.6390665614556257,0.002234368935751821,0.0,0.0,0.6111399925733383,0.001538281011170804,0.0,0.0,0.4930375046416636,6.0337533191168777e-05,0.0,0.0,0.7571829743780171,0.0019906162231973948,0.9786381842456608,0.956833386428799,0.10256410256410256
C0003123,Anorexia,,42.0,0.0,1.0,0.195,0.1,0.8010219614222635,0.04917223024237191,0.16999999999999998,0.1,0.8336445503137346,0.02040744563097844,0.27,0.0,0.783646641878,0.00907400355398,0.16499999999999998,0.075,0.7860625145247502,0.02137639939143355,0.125,0.025,0.6707867766674414,0.004882620515780157,0.125,0.05,0.5809377178712525,0.008483491811956359,0.1,0.05,0.7659823379037879,0.01030340815377378,0.966304347826087,0.8624067870789638,0.036004645760743324
C0003126,Anosmia,,21.0,0.58,1.0,0.15,0.1,0.6065804544328877,0.009631777617127387,0.15,0.05,0.6343587481426448,0.007375706136445866,0.15,0.1,0.556845514487,0.0178928441472,0.05,0.05,0.5791813707280832,0.02674452142333832,0.25,0.1,0.6191551355869243,0.01383969668804312,0.15,0.15,0.5690251207280832,0.061072583561755774,0.05,0.0,0.6625069650817237,0.002228043028014587,0.9497206703910616,0.981132075471698,0.042857142857142864
C0003466,"Anus, Imperforate",gastrointestinal system ,46.0,0.0,1.0,0.105,0.045,0.7999384036074566,0.021817914186908368,0.14500000000000002,0.065,0.8409681093394077,0.009802487104846285,0.02,0.0,0.745743573056,0.00203050154188,0.09,0.02,0.7530124122541955,0.0044764470092472745,0.06999999999999999,0.0,0.6085058807121937,0.002192046541506694,0.02,0.0,0.5031346752824136,0.0007496906784249473,0.02,0.0,0.682169820092046,0.0013794800088821374,0.979935794542536,0.8172436942552987,0.024154589371980683
C0003467,Anxiety,,112.0,0.0,0.0,0.054545454545454536,0.027272727272727268,0.8267507966114866,0.005913409551584427,0.15378787878787878,0.045454545454545456,0.8783742237012231,0.030339460097964763,0.053787878787900006,0.00909090909091,0.752308830906,0.00362626463245,0.03636363636363636,0.01818181818181818,0.7720095098808085,0.005567892037468529,0.0,0.0,0.6656966199650974,0.001363275508233782,0.01818181818181818,0.01818181818181818,0.5154554286158389,0.0018387140249811309,0.027272727272727268,0.0,0.6197979326960442,0.0017320950709071644,0.966637781629116,0.5148653965042432,0.02477477477477477
C0003469,Anxiety Disorders,cognitive disorder,36.0,0.0,1.0,0.10833333333333332,0.10833333333333332,0.7845799838917026,0.05664850678985065,0.14166666666666666,0.10833333333333332,0.8408792574694486,0.059126720300259825,0.08333333333330001,0.05,0.755828802875,0.013739293405500001,0.2,0.10833333333333332,0.8208813484503509,0.013659923436257677,0.0,0.0,0.6083327525053048,0.0008608798226708753,0.0,0.0,0.5387710453355637,0.0007616567068349544,0.13333333333333333,0.08333333333333333,0.8044472066044019,0.02432567609832983,0.9838613269575612,0.9015334680223892,0.042857142857142864
C0003486,Aortic Aneurysm,cardiovascular system ,10.0,0.35,1.0,0.3,0.3,0.9262495939109852,0.06166779133207991,0.3,0.2,0.6917807583422285,0.11630541720280588,0.3,0.1,0.885394718522,0.0211468618422,0.2,0.0,0.8934840116953637,0.003123539916711797,0.0,0.0,0.673481227084977,0.0006778585454232354,0.2,0.0,0.6438228059590662,0.004580806691070474,0.0,0.0,0.8375411890286351,0.0007879333262010866,0.981981981981982,0.9222201935366076,0.26666666666666666
C0003492,Aortic coarctation,,28.0,0.0,1.0,0.26666666666666666,0.1,0.866553640825553,0.026303738659643604,0.3,0.06666666666666668,0.8057263845665537,0.03766325080653853,0.233333333333,0.133333333333,0.852714168486,0.051825509134200004,0.11666666666666665,0.05,0.8363695480514656,0.005746142300895431,0.0,0.0,0.7210421601870345,0.001563587019357619,0.06666666666666668,0.03333333333333333,0.5434661774041215,0.00586045578702875,0.03333333333333333,0.03333333333333333,0.6860567916144116,0.002559919259098557,0.9758337361043984,0.848662072390886,0.06613756613756612
C0003504,Aortic Valve Insufficiency,cardiovascular system ,29.0,0.0,0.0,0.5,0.4,0.9168284714480366,0.2132460230980648,0.5333333333333333,0.31666666666666665,0.9402483587266196,0.11181454215932292,0.516666666667,0.383333333333,0.9060518084970001,0.0932897504785,0.3,0.26666666666666666,0.8981853090548743,0.032015458799323486,0.03333333333333333,0.0,0.7991967824848258,0.00306853939816975,0.3833333333333333,0.31666666666666665,0.7036119627152235,0.06524206044413021,0.45,0.2,0.9164545398241051,0.06421751025078111,0.9676113360323888,0.8140549713627686,0.11822660098522167
C0003507,Aortic Valve Stenosis,cardiovascular system ,20.0,0.02,1.0,0.05,0.0,0.7402783581743047,0.0031087780980291672,0.1,0.0,0.7186562659609045,0.003499297303186444,0.0,0.0,0.7041533175470001,0.0013161366694200002,0.05,0.0,0.738756558480754,0.0016563229294405625,0.0,0.0,0.6365638204020986,0.0005560555003926948,0.0,0.0,0.51803408088406,0.00041715944883332815,0.0,0.0,0.7404675674420764,0.0008575998418833226,0.9839438033115906,0.8641713145371744,0.08421052631578947
C0003578,Apnea,,44.0,0.0,1.0,0.13,0.025,0.7447700227769255,0.008297844902334924,0.15,0.045,0.7785368149491004,0.008610239291390438,0.13,0.045,0.7331364756190001,0.006650163075260001,0.06999999999999999,0.0,0.7683626179519362,0.002686137657478756,0.0,0.0,0.6054575140612652,0.0006878756841942584,0.045,0.02,0.5281097475944778,0.010776701097785009,0.05,0.0,0.6272746711290846,0.0014011580018564414,0.9775802087359876,0.807932866694116,0.0306553911205074
C0003635,Apraxias,,27.0,0.0,1.0,0.1,0.0,0.8734974454249885,0.004326780718628536,0.2333333333333333,0.03333333333333333,0.9041353150642512,0.00759956213779422,0.1,0.0333333333333,0.809623780771,0.0050250174158,0.06666666666666668,0.03333333333333333,0.8608964235949838,0.03564659506701722,0.03333333333333333,0.03333333333333333,0.6066012540640966,0.0030435038210655145,0.13333333333333333,0.03333333333333333,0.6017227899055582,0.004223495105521454,0.06666666666666668,0.03333333333333333,0.6163895339835888,0.007765710566052364,0.9802235597592434,0.8585464460323431,0.06552706552706553
