Disease ID,Disease Name,Fold Mean Rank,Fold Recall-at-25,Fold Mean Average Precision,Fold Recall-at-100,Full Recall-at-50,Fold Recall-at-50,Full Recall-at-25,Full Mean Average Precision,Fold Recall-at-10,Full Recall-at-10,Full Recall-at-100,Fold AUROC,Full Mean Rank,Full AUROC
C0035258,Restless Legs Syndrome,664.333333333,0.0,0.00100590758793,0.0,0.0,0.0,0.0,0.000104157182285,0.0,0.0,0.0,0.969220299135,6550.66666667,0.696085255131
C0040336,Tobacco Use Disorder,657.4,0.2,0.0143482654364,0.2,0.0,0.2,0.0,0.00145844882846,0.1,0.0,0.1,0.969537269099,6582.05,0.694558154646
C0022548,Keloid,329.308333333,0.0,0.0111867423717,0.308333333333,0.0,0.133333333333,0.0,0.00111809939864,0.0,0.0,0.0,0.98480030044,3293.90833333,0.847066452952
C0020437,Hypercalcemia,271.7,0.3,0.128398814152,0.7,0.1,0.5,0.1,0.00508701924422,0.3,0.0,0.3,0.987436766139,2660.8,0.876558221562
C0042514,"Tachycardia, Ventricular",582.2,0.0,0.00217767057302,0.1,0.0,0.1,0.0,0.000207611305505,0.0,0.0,0.0,0.973026407388,5913.0,0.725623056574
C0027947,Neutropenia,664.75,0.1,0.052669932426,0.2,0.05,0.1,0.05,0.00857607468569,0.05,0.05,0.05,0.969189797623,6687.6,0.689553936131
C0018781,Noise-induced hearing loss,441.0,0.4,0.211534223145,0.4,0.2,0.4,0.2,0.0213756352617,0.4,0.2,0.4,0.979584261321,4396.0,0.796074610245
C1142166,Brugada Syndrome (disorder),487.7,0.1,0.0164097739862,0.2,0.05,0.2,0.0,0.00125309450973,0.05,0.0,0.05,0.977418531241,4917.35,0.771789991644
C0282612,Prostatic Intraepithelial Neoplasias,127.75,0.25,0.0376394298615,0.6,0.1,0.3,0.1,0.00472218247755,0.2,0.0,0.1,0.994119558155,1333.8,0.938143971039
C0010278,Craniosynostosis,490.85,0.15,0.0251338659247,0.3,0.15,0.15,0.05,0.00244653827572,0.15,0.0,0.15,0.97726724218,4898.45,0.772700269191
C0013990,Pathological accumulation of air in tissues,289.9,0.1,0.0195430981208,0.3,0.1,0.1,0.1,0.00234977473971,0.1,0.0,0.1,0.986592100989,2905.4,0.865206293219
C0032285,Pneumonia,203.075,0.355,0.0699419259373,0.55,0.14,0.44,0.06,0.0101259341721,0.16,0.0,0.245,0.990691538819,1951.385,0.909412598791
C0038454,Cerebrovascular accident,376.791666667,0.116666666667,0.0181977888934,0.466666666667,0.025,0.25,0.0,0.00211091240543,0.0583333333333,0.0,0.0583333333333,0.9826002943,3743.44166667,0.826158031289
C0018671,Head and Neck Neoplasms,422.583333333,0.166666666667,0.0239608409578,0.3,0.0333333333333,0.166666666667,0.0333333333333,0.00490058311264,0.133333333333,0.0333333333333,0.133333333333,0.980452617566,4242.95,0.803041701495
C0018772,"Hearing Loss, Partial",1006.93333333,0.0,0.00115883966193,0.0,0.0,0.0,0.0,0.000114070695274,0.0,0.0,0.0,0.953321724325,10044.1333333,0.533693986534
C0008625,Chromosome Aberrations,396.9,0.15,0.0204523370354,0.35,0.15,0.2,0.0,0.00270868438595,0.15,0.0,0.15,0.981633553059,3974.8,0.815544053477
C0015967,Fever,654.55,0.05,0.00730990766618,0.2,0.0,0.1,0.0,0.000765264611674,0.05,0.0,0.05,0.969677763848,6503.65,0.698093977806
C0149931,Migraine Disorders,770.116666667,0.1,0.0444248280214,0.133333333333,0.0666666666667,0.1,0.0666666666667,0.00354094900833,0.1,0.0333333333333,0.1,0.964315792733,7769.11666667,0.639249609091
C0019284,Diaphragmatic Hernia,414.475,0.1,0.0153979791926,0.4,0.0,0.2,0.0,0.00145688193277,0.025,0.0,0.025,0.980853511177,4152.85,0.807112980434
C0005941,"Bone Diseases, Developmental",756.666666667,0.0,0.00234782468241,0.0666666666667,0.0,0.0,0.0,0.000222869982505,0.0,0.0,0.0,0.964939085744,7617.28333333,0.646329664546
C0023434,Chronic Lymphocytic Leukemia,587.635,0.08,0.0181276021442,0.245,0.04,0.165,0.04,0.00212039525591,0.04,0.0,0.04,0.972815464013,5883.105,0.726604286777
C0014553,Absence Epilepsy,551.111111111,0.111111111111,0.00564052184326,0.333333333333,0.0,0.222222222222,0.0,0.000590241785544,0.0,0.0,0.0,0.974470432935,5401.33333333,0.749381226409
C0040411,Tongue Neoplasms,443.777777778,0.111111111111,0.00811810934712,0.222222222222,0.0,0.111111111111,0.0,0.00104164547878,0.111111111111,0.0,0.111111111111,0.979451560341,4429.55555556,0.794479508281
C0025500,Mesothelioma,407.375,0.1,0.017804565609,0.295,0.05,0.15,0.05,0.00275583591897,0.05,0.0,0.05,0.981184932144,4068.53,0.81102528351
C0034951,Refractive Errors,927.95,0.0,0.00115112637987,0.0,0.0,0.0,0.0,0.00011509127106,0.0,0.0,0.0,0.956982682576,9297.6,0.568401504248
C0025202,melanoma,680.326578947,0.0468421052632,0.0302125961761,0.187368421053,0.0263157894737,0.109210526316,0.0210526315789,0.00436241664651,0.0260526315789,0.0,0.0365789473684,0.968629448064,6728.39342105,0.685541583012
C0034069,Pulmonary Fibrosis,269.775,0.315,0.0485113012125,0.42,0.06,0.335,0.02,0.00529354410675,0.21,0.0,0.21,0.98759240318,2681.455,0.875468176112
C3875321,Inflammatory dermatosis,701.4,0.0333333333333,0.00420346326687,0.0666666666667,0.0,0.0333333333333,0.0,0.00042144142197,0.0,0.0,0.0,0.967514403197,7043.375,0.672855201412
C0162809,Kallmann Syndrome,902.95,0.05,0.0526284958194,0.2,0.05,0.15,0.05,0.0502463103493,0.05,0.05,0.05,0.958144124066,9062.8,0.579270557645
C0006118,Brain Neoplasms,424.75,0.2,0.0236851984656,0.333333333333,0.1,0.333333333333,0.05,0.00317313321337,0.15,0.0,0.15,0.980352001486,4225.46666667,0.803853595864
C0023794,Lipoidosis,674.2,0.1,0.0175890075637,0.15,0.05,0.15,0.05,0.00224554829092,0.1,0.0,0.05,0.9687633485,6731.25,0.687537143653
C0026650,Movement Disorders,526.633333333,0.133333333333,0.0174663270791,0.183333333333,0.1,0.133333333333,0.0,0.00172630422928,0.1,0.0,0.133333333333,0.975618344477,5223.9,0.757506036404
C0338480,Common Migraine,895.0,0.0,0.00100457719736,0.0,0.0,0.0,0.0,9.80937295504e-05,0.0,0.0,0.0,0.958509700176,8990.95,0.582757820477
C0025958,Microcephaly,215.133333333,0.15,0.0248251077095,0.416666666667,0.1,0.333333333333,0.0,0.00274466671755,0.15,0.0,0.15,0.990086220241,2189.9,0.898381629052
C0001430,Adenoma,561.058333333,0.158333333333,0.0418249226608,0.191666666667,0.0333333333333,0.191666666667,0.0333333333333,0.00210152051849,0.0333333333333,0.0,0.0333333333333,0.974032133178,5592.53333333,0.740281842818
C0085110,Severe Combined Immunodeficiency,67.9,0.5,0.0662004636923,0.8,0.2,0.6,0.2,0.00769494690465,0.3,0.0,0.2,0.996897335932,664.25,0.969219344658
C0016059,Fibrosis,351.65,0.25,0.0295195837765,0.55,0.0,0.375,0.0,0.00302401361667,0.125,0.0,0.1,0.983773295534,3518.175,0.83660884417
C0019196,Hepatitis C,541.0,0.0,0.00415551974086,0.25,0.0,0.15,0.0,0.00045101976792,0.0,0.0,0.0,0.974944294866,5399.35,0.749415096091
C0003469,Anxiety Disorders,416.166666667,0.183333333333,0.0776347825402,0.383333333333,0.158333333333,0.258333333333,0.158333333333,0.015680585359,0.183333333333,0.0333333333333,0.183333333333,0.980766312007,4145.58333333,0.807489855813
C0022116,Ischemia,387.866666667,0.0833333333333,0.019791644619,0.316666666667,0.05,0.133333333333,0.05,0.00303042544795,0.05,0.0,0.05,0.982070753987,3804.86666667,0.823361975538
C1449861,"Micronuclei, Chromosome-Defective",323.05,0.0,0.010577697556,0.55,0.0,0.25,0.0,0.00104413578272,0.0,0.0,0.0,0.985066623334,3198.65,0.851559961001
C0009404,Colorectal Neoplasms,672.644805195,0.0469696969697,0.0248763936728,0.150649350649,0.0188311688312,0.0941558441558,0.0142857142857,0.0031559486433,0.0281385281385,0.0047619047619,0.028354978355,0.969007815492,6635.92922078,0.689619557105
C0009375,Colonic Neoplasms,457.863461538,0.128846153846,0.0434127810969,0.249358974359,0.0480769230769,0.152564102564,0.0320512820513,0.00485613172961,0.0807692307692,0.00833333333333,0.0884615384615,0.978951406237,4493.17692308,0.790666903552
C0037769,West Syndrome,603.35,0.05,0.00433296704797,0.15,0.0,0.1,0.0,0.000393364605803,0.0,0.0,0.0,0.972049948937,6105.05,0.716655835113
C0030319,Panic Disorder,631.25,0.0,0.000972070056312,0.0,0.0,0.0,0.0,9.80121459878e-05,0.0,0.0,0.0,0.970752703142,6246.25,0.710183767228
C0001624,Adrenal Gland Neoplasms,42.05,0.7,0.0850286122808,0.9,0.5,0.75,0.3,0.0152947010736,0.5,0.1,0.5,0.998097094588,374.05,0.982688201986
C0005283,beta Thalassemia,516.6,0.3,0.0136436509903,0.3,0.0,0.3,0.0,0.00127038166496,0.1,0.0,0.0,0.976070914745,5185.2,0.759400380563
C0027720,Nephrosis,133.85,0.55,0.0574848067898,0.8,0.15,0.7,0.15,0.00679678155001,0.3,0.0,0.4,0.993844582676,1366.45,0.936626125708
C0429087,Electrocardiogram: P-R interval,947.666666667,0.0,0.00211318449648,0.111111111111,0.0,0.111111111111,0.0,0.000178480487468,0.0,0.0,0.0,0.956067075057,9439.77777778,0.561965018666
C2931456,"Prostate cancer, familial",683.15,0.15,0.0114218272269,0.25,0.0,0.15,0.0,0.00129407793792,0.1,0.0,0.1,0.968343854437,6819.7,0.683505848496
C0007137,Squamous cell carcinoma,297.893055556,0.243055555556,0.0755101403845,0.456944444444,0.0625,0.325,0.025,0.00701145305059,0.136111111111,0.0125,0.123611111111,0.986344274213,2903.41388889,0.865010820579
C0006413,Burkitt Lymphoma,387.0,0.3,0.0279261723598,0.4,0.1,0.35,0.0,0.0024507466782,0.2,0.0,0.25,0.982093120416,3941.35,0.817096834092
C0036095,Salivary Gland Neoplasms,609.265,0.0,0.00537000392172,0.095,0.0,0.02,0.0,0.00053560900511,0.0,0.0,0.0,0.971804722726,6077.45,0.717624227211
C0271650,Impaired glucose tolerance,448.3,0.15,0.011797165161,0.35,0.0,0.25,0.0,0.00123870414418,0.05,0.0,0.05,0.979242086698,4483.9,0.791940499397
C1862939,AMYOTROPHIC LATERAL SCLEROSIS 1,539.98,0.105,0.0314887569247,0.29,0.02,0.15,0.02,0.00217655760124,0.045,0.0,0.045,0.975029753603,5402.145,0.748988145049
C0085129,Bronchial Hyperreactivity,858.75,0.05,0.00291615757434,0.1,0.0,0.05,0.0,0.000254417906497,0.0,0.0,0.0,0.960193093205,8652.2,0.598447363535
C0038644,Sudden infant death syndrome,529.1,0.3,0.0196972123447,0.35,0.0,0.35,0.0,0.00230086957555,0.3,0.0,0.3,0.975493153864,5316.75,0.753276862381
C0033941,"Psychoses, Substance-Induced",354.35,0.35,0.0336957869948,0.35,0.1,0.35,0.0,0.00306115980894,0.2,0.0,0.2,0.983611884865,3556.1,0.834969823584
C0010346,Crohn Disease,765.622222222,0.0694444444444,0.0109679906786,0.0916666666667,0.0222222222222,0.0694444444444,0.0,0.00126370634789,0.0347222222222,0.0,0.0458333333333,0.964565511308,7548.97916667,0.64861654505
C0035828,Romano-Ward Syndrome,249.2,0.6,0.160499463289,0.6,0.25,0.6,0.1,0.023221420502,0.45,0.1,0.5,0.988488139999,2477.45,0.885055470454
C0206762,"Limb Deformities, Congenital",509.95,0.0,0.00404050110241,0.2,0.0,0.15,0.0,0.000400742635955,0.0,0.0,0.0,0.976385665212,5072.75,0.764576176771
C1561955,Fibrinogen Adverse Event,738.25,0.05,0.00300616267316,0.1,0.0,0.1,0.0,0.000370858892646,0.0,0.0,0.0,0.965791123079,7441.8,0.654562653791
C0149721,Left Ventricular Hypertrophy,252.733333333,0.316666666667,0.111250595166,0.583333333333,0.233333333333,0.5,0.0833333333333,0.00945353541931,0.283333333333,0.05,0.283333333333,0.988341924798,2518.68333333,0.883110419666
C0086543,Cataract,455.183333333,0.316666666667,0.139394055755,0.366666666667,0.166666666667,0.316666666667,0.166666666667,0.0434479736813,0.216666666667,0.116666666667,0.216666666667,0.978936045072,4568.65,0.78793067422
C0993582,"Arthritis, Experimental",360.083333333,0.1,0.0432930921421,0.383333333333,0.05,0.225,0.05,0.00292669049953,0.075,0.0,0.075,0.983379806054,3588.76666667,0.833334107879
C0019158,Hepatitis,547.1,0.1,0.00573288574212,0.15,0.0,0.15,0.0,0.000557700023596,0.0,0.0,0.0,0.974664561957,5409.45,0.74891824133
C0036421,Systemic Scleroderma,683.433333333,0.05,0.0033012970249,0.1,0.0,0.05,0.0,0.00034020887513,0.0,0.0,0.0,0.968338441534,6829.26666667,0.682938608712
C0007222,Cardiovascular Diseases,550.24,0.1,0.0347960787287,0.16,0.02,0.14,0.02,0.00280435794567,0.06,0.02,0.04,0.974553866183,5493.84,0.744692425722
C0018798,Congenital Heart Defects,489.341666667,0.116666666667,0.0115888462773,0.2,0.025,0.2,0.0,0.001336808722,0.025,0.0,0.025,0.977367732243,4917.725,0.771606379519
C2937358,Cerebral Hemorrhage,265.233333333,0.216666666667,0.0228058556928,0.55,0.0,0.35,0.0,0.00259220788805,0.0333333333333,0.0,0.0666666666667,0.987768436373,2654.4,0.87679409169
C0019202,Hepatolenticular Degeneration,325.7,0.15,0.0112632573324,0.4,0.0,0.266666666667,0.0,0.00117595739613,0.0,0.0,0.0,0.984953327451,3242.05,0.849517020387
C0015625,Fanconi Anemia,42.2,0.7,0.275702393424,0.9,0.5,0.75,0.5,0.0450291902932,0.55,0.3,0.55,0.998107995171,386.45,0.982124616956
C0600467,Neurogenic Inflammation,541.7,0.3,0.126283728601,0.3,0.3,0.3,0.3,0.0194145592875,0.3,0.1,0.3,0.974908331399,5383.15,0.750194940822
C0029172,Oral Submucous Fibrosis,251.75,0.55,0.179311984754,0.55,0.45,0.55,0.4,0.0186034801514,0.5,0.15,0.55,0.988371553245,2508.15,0.883627332652
C1261502,Finding of Mean Corpuscular Hemoglobin,601.5,0.1,0.101504123511,0.1,0.1,0.1,0.1,0.00848443385044,0.1,0.1,0.1,0.972135827685,6015.7,0.72080354656
C0018824,Heart valve disease,441.133333333,0.0833333333333,0.00936446206218,0.233333333333,0.0333333333333,0.0833333333333,0.0,0.000934421992003,0.0333333333333,0.0,0.0333333333333,0.979592563352,4377.5,0.796786327962
C0740392,"Infarction, Middle Cerebral Artery",343.6,0.133333333333,0.0686997172105,0.383333333333,0.0333333333333,0.233333333333,0.0,0.00183103684709,0.133333333333,0.0,0.133333333333,0.984123629946,3395.73333333,0.842374914855
C0027643,"Neoplasm Recurrence, Local",374.466666667,0.2,0.0987372020241,0.366666666667,0.166666666667,0.283333333333,0.116666666667,0.00692802549222,0.166666666667,0.05,0.166666666667,0.982688586511,3736.98333333,0.82653214446
C0699790,Colon Carcinoma,297.283333333,0.266666666667,0.0272213602004,0.35,0.1,0.3,0.05,0.00364777454072,0.2,0.0,0.2,0.986273007322,2941.4,0.863479310825
C0026769,Multiple Sclerosis,727.969444444,0.0361111111111,0.00883333869821,0.127777777778,0.0,0.0597222222222,0.0,0.000927198060624,0.0,0.0,0.0,0.966320042852,7264.55138889,0.661853945741
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",568.005416667,0.0525,0.0222385951883,0.200416666667,0.00666666666667,0.104166666667,0.00666666666667,0.00245988569386,0.00666666666667,0.0,0.0133333333333,0.973844681042,5651.04666667,0.736352672523
C0162666,Mitochondrial Encephalomyopathies,424.55,0.25,0.0217002280042,0.4,0.0,0.35,0.0,0.0026039935633,0.2,0.0,0.25,0.980344379467,4255.8,0.802527151211
C0024141,"Lupus Erythematosus, Systemic",636.666071429,0.0553571428571,0.00965183448603,0.173214285714,0.0,0.0821428571429,0.0,0.000994937628111,0.0,0.0,0.0,0.970560360019,6314.54107143,0.70626546073
C0019151,Hepatic Encephalopathy,205.4,0.35,0.0261165115391,0.55,0.05,0.45,0.0,0.00353230868947,0.2,0.0,0.35,0.990519402154,2042.15,0.905263646491
C0001973,"Alcoholic Intoxication, Chronic",521.7,0.0833333333333,0.023344745532,0.225,0.0583333333333,0.166666666667,0.0333333333333,0.00196008212523,0.0833333333333,0.0,0.0583333333333,0.975867837725,5165.875,0.760051001441
C0040034,Thrombocytopenia,368.2,0.2,0.0161378570914,0.35,0.1,0.25,0.0,0.00235069750823,0.1,0.0,0.1,0.982976549803,3701.28333333,0.828201377602
C1140680,Malignant neoplasm of ovary,414.2,0.35,0.0295331046028,0.4,0.15,0.35,0.05,0.00396717542513,0.15,0.0,0.25,0.980826177767,4074.5,0.810935251799
C0026640,Mouth Neoplasms,265.93,0.17,0.0565258249331,0.49,0.05,0.32,0.025,0.00456580253763,0.125,0.025,0.125,0.987760632117,2601.395,0.879210085987
C1843367,Poor school performance,670.95,0.0,0.001359985954,0.0,0.0,0.0,0.0,0.000135338114718,0.0,0.0,0.0,0.968910137393,6721.55,0.688061641292
C0268363,Osteogenesis imperfecta type IV (disorder),430.7,0.3,0.032202495437,0.3,0.2,0.3,0.0,0.00325315078886,0.3,0.0,0.3,0.980057548615,4341.7,0.798547361582
C0043094,Weight Gain,589.768055556,0.0680555555556,0.0249614488918,0.145833333333,0.0222222222222,0.0902777777778,0.0111111111111,0.0125329485291,0.0458333333333,0.0111111111111,0.0458333333333,0.972757554821,5806.52083333,0.729770735324
C0677050,Manganese Poisoning,382.0,0.3,0.0254434234753,0.4,0.1,0.3,0.1,0.00371447526158,0.1,0.0,0.1,0.982319223986,3823.85,0.822574955908
C0039685,Tetralogy of Fallot,448.8,0.15,0.0146301514771,0.5,0.05,0.4,0.0,0.00165008311543,0.05,0.0,0.05,0.979224306007,4484.75,0.791870531984
C0031117,Peripheral Neuropathy,709.110185185,0.0215608465608,0.0273178471451,0.104232804233,0.0107142857143,0.0609788359788,0.00714285714286,0.00254893130008,0.014417989418,0.0,0.014417989418,0.96735312599,6987.11309524,0.672306378374
C0011053,Deafness,1019.3,0.05,0.00430969853927,0.2,0.0,0.2,0.0,0.000445054384066,0.0,0.0,0.0,0.952742317334,10172.7,0.527854888126
C0031511,Pheochromocytoma,398.55,0.35,0.0374235747109,0.5,0.15,0.45,0.05,0.00507615636512,0.25,0.0,0.25,0.981560744627,3951.15,0.816647323708
C0023892,Biliary cirrhosis,609.241666667,0.116666666667,0.0407405453026,0.266666666667,0.05,0.15,0.05,0.00263730876104,0.116666666667,0.0,0.116666666667,0.971793650794,6030.99166667,0.71991366628
C0403553,Renal dysplasia and retinal aplasia (disorder),277.6,0.6,0.240086173793,0.7,0.3,0.6,0.3,0.0321765513919,0.4,0.3,0.4,0.987162946118,2728.5,0.873416252843
C1112705,Nuclear non-senile cataract,452.25,0.45,0.15713786977,0.5,0.3,0.45,0.2,0.0256946850834,0.45,0.2,0.45,0.979060106753,4478.45,0.79218612207
C0004763,Barrett Esophagus,416.1,0.2,0.0123826673053,0.3,0.0,0.3,0.0,0.00141436048421,0.1,0.0,0.1,0.980740843894,4152.0,0.807324885113
C0004352,Autistic Disorder,604.397101449,0.0465579710145,0.0281078419937,0.149456521739,0.0,0.0849637681159,0.0,0.00293115688953,0.00416666666667,0.0,0.00416666666667,0.972226461509,5887.93804348,0.724452273957
C0520459,Necrotizing Enterocolitis,398.0,0.15,0.0120530047533,0.45,0.0,0.4,0.0,0.00144531196869,0.0,0.0,0.1,0.98158542247,3971.8,0.81567084494
C1263846,Attention deficit hyperactivity disorder,831.891666667,0.0583333333333,0.00732322222353,0.108333333333,0.0333333333333,0.108333333333,0.0,0.000887967789014,0.0583333333333,0.0,0.0583333333333,0.961451460521,8320.01666667,0.613522597032
C0001418,Adenocarcinoma,436.01,0.142727272727,0.0649457731247,0.314545454545,0.0572727272727,0.2,0.0290909090909,0.0048343236977,0.0863636363636,0.01,0.0863636363636,0.979944524731,4269.78545455,0.801222066358
C2936907,NADH:Q(1) Oxidoreductase deficiency,145.65,0.8,0.457490994803,0.85,0.65,0.85,0.4,0.055136087927,0.75,0.25,0.75,0.993306867252,1443.55,0.93304313507
C0149925,Small cell carcinoma of lung,549.7,0.2,0.0248815358422,0.25,0.1,0.2,0.05,0.00327226890473,0.125,0.0,0.125,0.974568364549,5432.1,0.747659989776
C0268362,Osteogenesis imperfecta type III (disorder),108.65,0.3,0.133837025067,0.75,0.2,0.55,0.2,0.00676176478252,0.2,0.0,0.2,0.995006033603,1143.05,0.946997122436
C0020473,Hyperlipidemia,241.6,0.4,0.0866721571828,0.65,0.2,0.65,0.05,0.0130228941208,0.25,0.05,0.25,0.988846332405,2366.9,0.890178737233
C0023890,Liver Cirrhosis,337.833333333,0.196666666667,0.0401225839391,0.436666666667,0.06,0.306666666667,0.0,0.00446364378325,0.14,0.0,0.14,0.98443783038,3315.13333333,0.845978080578
C0848558,Hypospadias,833.05,0.0,0.00117732872041,0.0,0.0,0.0,0.0,0.000115617427412,0.0,0.0,0.0,0.961386529267,8382.5,0.610950192638
C0015695,Fatty Liver,447.02,0.09,0.0349810957596,0.24,0.04,0.175,0.04,0.00749775946821,0.04,0.04,0.065,0.979351434283,4383.985,0.796313868613
C1960469,Left ventricular noncompaction,314.9,0.1,0.0543583838227,0.15,0.05,0.1,0.05,0.00667636606194,0.05,0.05,0.05,0.985435135762,3113.75,0.855527964725
C0524851,Neurodegenerative Disorders,458.466666667,0.291666666667,0.0709179657509,0.425,0.125,0.291666666667,0.05,0.0314031028953,0.125,0.05,0.15,0.978804987608,4527.83333333,0.789708023544
C0009241,Cognition Disorders,733.566666667,0.05,0.0526465290839,0.1,0.05,0.1,0.05,0.0127552412444,0.05,0.05,0.05,0.966011114207,7317.08333333,0.660284511315
C0026764,Multiple Myeloma,668.275,0.108333333333,0.0083056284959,0.183333333333,0.0,0.158333333333,0.0,0.000798582018097,0.0,0.0,0.0,0.969055558137,6621.84166667,0.692376924745
C0023343,Leprosy,708.9,0.1,0.0119799039531,0.2,0.05,0.15,0.0,0.00140328934795,0.1,0.0,0.1,0.967152606899,7062.3,0.672180695483
C0028754,Obesity,658.504307692,0.0350769230769,0.0275051492939,0.128,0.00769230769231,0.074,0.00384615384615,0.00284683225216,0.0115384615385,0.0,0.0153846153846,0.969712355582,6458.18,0.697418676211
C0014549,Tonic-Clonic Epilepsy,550.9,0.3,0.0365137358814,0.3,0.2,0.3,0.1,0.00443149499949,0.2,0.0,0.2,0.974479045807,5492.7,0.745129252332
C0024301,"Lymphoma, Follicular",447.966666667,0.183333333333,0.0238898163672,0.333333333333,0.1,0.283333333333,0.05,0.0023808728237,0.133333333333,0.0,0.133333333333,0.979271142893,4511.18333333,0.790600235265
C3463824,MYELODYSPLASTIC SYNDROME,458.3,0.15,0.0209835531643,0.2,0.05,0.15,0.0,0.00185006346555,0.1,0.0,0.1,0.978787316031,4562.45,0.788242258229
C0005586,Bipolar Disorder,663.976190476,0.097619047619,0.0359300304086,0.17619047619,0.0333333333333,0.128571428571,0.0166666666667,0.00313483059111,0.0666666666667,0.0166666666667,0.0666666666667,0.969278580512,6601.73809524,0.693027290008
C0025149,Medulloblastoma,343.63,0.145,0.0268348771626,0.375,0.02,0.24,0.0,0.00271317427139,0.095,0.0,0.12,0.984152372984,3442.87,0.840088202482
C0023493,Adult T-Cell Lymphoma/Leukemia,331.0,0.3,0.0338602760888,0.491666666667,0.0666666666667,0.4,0.0333333333333,0.00293337822743,0.133333333333,0.0,0.133333333333,0.984718479978,3326.61666667,0.845555762024
C0152013,Adenocarcinoma of lung (disorder),346.755,0.145,0.0230169958298,0.355,0.02,0.185,0.02,0.00306369939388,0.045,0.02,0.045,0.984010273813,3452.045,0.839652038492
C1336708,Testicular Germ Cell Tumor,629.683333333,0.05,0.00637757065996,0.05,0.0,0.05,0.0,0.000659023860906,0.05,0.0,0.05,0.970833333333,6234.51666667,0.71057918524
C0021051,Immunologic Deficiency Syndromes,291.55,0.4,0.23260795815,0.55,0.35,0.5,0.35,0.0912664965572,0.35,0.3,0.35,0.986525069638,2898.25,0.865494428969
C0004364,Autoimmune Diseases,480.05,0.025,0.00717581495866,0.25,0.0,0.125,0.0,0.000847236922491,0.0,0.0,0.0,0.977796877904,4732.85833333,0.780212398563
C0011991,Diarrhea,577.9,0.3,0.0119335773826,0.4,0.0,0.4,0.0,0.00116770782044,0.1,0.0,0.1,0.973225971133,5680.5,0.736413421822
C0026848,Myopathy,619.016666667,0.116666666667,0.00834202259996,0.166666666667,0.0,0.116666666667,0.0,0.00103568873916,0.05,0.0,0.0833333333333,0.971332590253,6120.83333333,0.715813285652
C0026846,Muscular Atrophy,410.35,0.3,0.011417731657,0.4,0.0,0.3,0.0,0.00105925402295,0.0,0.0,0.0,0.981006312662,4046.5,0.812228462681
C1861172,Venous Thromboembolism,626.975,0.166666666667,0.0500553857471,0.366666666667,0.0666666666667,0.2,0.0333333333333,0.00452913434905,0.1,0.0333333333333,0.1,0.970968828394,6186.68333333,0.712690080213
